,dep,version,filepath,type,condition,status
0,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,install_requires,*@*,*
1,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,install_requires,*@*,*
2,pandas,>=0.21.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,install_requires,*@*,*
3,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,install_requires,*@*,*
4,related,>=0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,install_requires,*@*,*
5,colorlog,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,install_requires,*@*,*
6,jinja2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,install_requires,*@*,*
7,cookiecutter,>=1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,install_requires,*@*,*
8,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,install_requires,*@*,*
9,urllib3,>=1.21.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,install_requires,*@*,*
10,tinydb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,install_requires,*@*,*
11,kipoi-utils,>=0.7.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,install_requires,*@*,*
12,kipoi-conda,>=0.1.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,install_requires,*@*,*
13,deprecation,>=2.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,install_requires,*@*,*
14,attrs,<=21.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,install_requires,*@*,*
15,bump2version,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
16,gitpython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
17,wheel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
18,jedi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
19,epc,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
20,pyarrow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
21,pytest,>=3.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
22,pytest-xdist,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
23,pytest-pep8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
24,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
25,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
26,cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
27,keras,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
28,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
29,zarr,>=2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
30,kipoi-interpret,>=0.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
31,concise,>=0.6.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/kipoi/setup.py,extras_require,*@*,*
