,dep,version,filepath,type,condition,status
0,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements.txt,*,*@*,*
1,torch,>=1.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements.txt,*,*@*,*
2,accelerate,==0.21.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-x.txt,*,*@*,*
3,sphinx-copybutton,>=0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-docs.txt,*,*@*,*
4,sphinxcontrib-youtube,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-docs.txt,*,*@*,*
5,PyYAML,>=5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-docs.txt,*,*@*,*
6,sphinxcontrib-bibtex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-docs.txt,*,*@*,*
7,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-docs.txt,*,*@*,*
8,sphinxcontrib-gtagjs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-docs.txt,*,*@*,*
9,kornia_moons,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-docs.txt,*,*@*,*
10,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-docs.txt,*,*@*,*
11,sphinx-autodoc-defaultargs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-docs.txt,*,*@*,*
12,sphinx,>=4,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-docs.txt,*,*@*,*
13,sphinx-design,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-docs.txt,*,*@*,*
14,furo,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-docs.txt,*,*@*,*
15,sphinx-autodoc-typehints,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-docs.txt,*,*@*,*
16,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-docs.txt,*,*@*,*
17,onnx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-dev.txt,*,*@*,*
18,kornia-rs,==0.0.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-dev.txt,*,*@*,*
19,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-dev.txt,*,*@*,*
20,mypy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-dev.txt,*,*@*,*
21,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-dev.txt,*,*@*,*
22,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-dev.txt,*,*@*,*
23,pydocstyle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-dev.txt,*,*@*,*
24,pytest,==7.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-dev.txt,*,*@*,*
25,pytest-cov,==4.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-dev.txt,*,*@*,*
26,pre-commit,>=2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kornia/requirements/requirements-dev.txt,*,*@*,*
