,dep,version,filepath,type,condition,status
0,mysqlclient,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/setup.py,extras_require,@*,*
1,locust,==1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/label_studio/tests/loadtests/requirements.txt,*,*@*,*
2,requests,==2.31.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/.github/helpers/gh_changelog_generator/requirements.txt,*,*@*,*
3,jira,==3.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/.github/helpers/gh_changelog_generator/requirements.txt,*,*@*,*
4,PyGithub,==1.57,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/.github/helpers/gh_changelog_generator/requirements.txt,*,*@*,*
5,moto,==1.3.16.dev122,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,*,*@*,*
6,importlib-metadata,==4.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,*,*@python_version < '3.8',*
7,psutil,==5.9.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,*,*@*,*
8,pytest-xdist,~=2.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,*,*@*,*
9,pytest-django,==4.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,*,*@*,*
10,responses,==0.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,*,*@*,*
11,pytest,==6.2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,*,*@*,*
12,pytest-mock,==1.10.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,*,*@*,*
13,requests-mock,==1.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,*,*@*,*
14,pytest-cov,==2.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,*,*@*,*
15,pytest-env,==0.6.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,*,*@*,*
16,pyyaml,>=5.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,*,*@*,*
17,fakeredis,==1.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,*,*@*,*
18,tavern,==1.19.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,*,*@*,*
19,defusedxml,>=0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
20,django-cors-headers,==3.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
21,protobuf,>=3.15.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
22,django-rest-swagger,==2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
23,google-auth,==2.14.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
24,drf-generators,==0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
25,pydantic,">=1.7.3,<=1.11.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
26,django-user-agents,==0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
27,rules,==2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
28,django-extensions,==3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
29,sentry-sdk,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
30,bleach,~=5.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
31,drf_dynamic_fields,==0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
32,google-cloud-audit-log,==0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
33,lxml,>=4.2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
34,jsonschema,==3.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
35,boxing,>=0.1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
36,google-cloud-logging,~=2.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
37,wheel,">=0.38.1,<=0.40.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
38,django_debug_toolbar,==3.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
39,djangorestframework,==3.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
40,lockfile,>=0.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
41,colorama,>=0.4.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
42,python-json-logger,==2.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
43,attr,==0.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
44,appdirs,>=1.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
45,django_filter,==2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
46,xmljson,==0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
47,rq,==1.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
48,boto,~=2.49.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements.txt,*,*@*,*
