,dep,version,filepath,bloated,cve,affected versions,advisory
0,mysqlclient,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/setup.py,False,no one,no one,no one
1,locust,==1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/label_studio/tests/loadtests/requirements.txt,False,PVE-2022-50450,<1.3.2,"Locust 1.3.2 includes a fix for a XSS vulnerability.
https://github.com/locustio/locust/pull/1603/commits/0d118179709b4a60174810bae4db41d40e4c99ad"
2,locust,==1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/label_studio/tests/loadtests/requirements.txt,False,CVE-2020-28364,">=0,<1.3.2","A stored cross-site scripting (XSS) vulnerability affects the Web UI in Locust before 1.3.2, if the installation violates the usage expectations by exposing this UI to outside users."
3,requests,==2.31.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/.github/helpers/gh_changelog_generator/requirements.txt,False,CVE-2015-2296,">=2.1,<=2.5.3",The resolve_redirects function in sessions.py in requests 2.1.0 through 2.5.3 allows remote attackers to conduct session fixation attacks via a cookie without a host value in a redirect.
4,requests,==2.31.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/.github/helpers/gh_changelog_generator/requirements.txt,False,CVE-2023-32681,">=2.3.0,<2.31.0","Requests is a HTTP library. Since Requests 2.3.0, Requests has been leaking Proxy-Authorization headers to destination servers when redirected to an HTTPS endpoint. This is a product of how we use 'rebuild_proxies' to reattach the 'Proxy-Authorization' header to requests. For HTTP connections sent through the tunnel, the proxy will identify the header in the request itself and remove it prior to forwarding to the destination server. However when sent over HTTPS, the 'Proxy-Authorization' header must be sent in the CONNECT request as the proxy has no visibility into the tunneled request. This results in Requests forwarding proxy credentials to the destination server unintentionally, allowing a malicious actor to potentially exfiltrate sensitive information. This issue has been patched in version 2.31.0.

"
5,jira,==3.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/.github/helpers/gh_changelog_generator/requirements.txt,False,no one,no one,no one
6,PyGithub,==1.57,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/.github/helpers/gh_changelog_generator/requirements.txt,False,no one,no one,no one
7,moto,==1.3.16.dev122,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,False,no one,no one,no one
8,importlib-metadata,==4.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,False,no one,no one,no one
9,psutil,==5.9.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,False,no one,no one,no one
10,pytest-xdist,~=2.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,False,no one,no one,no one
11,pytest-django,==4.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/label-studio/deploy/requirements-test.txt,False,no one,no one,no one
