,dep,version,filepath,type,condition,status
0,numpy,<1.24,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,install_requires,*@*,*
1,black,>=22.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,install_requires,*@*,*
2,click,==8.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,install_requires,*@*,*
3,graphviz,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,install_requires,*@*,*
4,hyperopt,">=0.2,<=0.2.5",/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,install_requires,*@*,*
5,jsonschema,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,install_requires,*@*,*
6,jsonsubschema,>=0.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,install_requires,*@*,*
7,scikit-learn,">=1.0.0,<=1.2.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,install_requires,*@*,*
8,scipy,<1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,install_requires,*@*,*
9,pandas,<2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,install_requires,*@*,*
10,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,install_requires,*@*,*
11,decorator,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,install_requires,*@*,*
12,astunparse,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,install_requires,*@*,*
13,typing-extensions,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,install_requires,*@*,*
14,mystic,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
15,xgboost,<=1.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
16,lightgbm,<4.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
17,snapml,">=1.7.0rc3,<1.12.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
18,liac-arff,>=2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
19,tensorflow,>=2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
20,smac,<=0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
21,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
22,aif360,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
23,protobuf,<=3.20.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
24,torch,>=1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
25,BlackBoxAuditing,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
26,imbalanced-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
27,cvxpy,>=1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
28,fairlearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
29,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
30,pre-commit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
32,joblib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
33,ipython,<8.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
34,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
35,sphinx,>=5.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
36,sphinx_rtd_theme,>=0.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
37,docutils,<0.17,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
38,m2r2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
39,sphinxcontrib.apidoc,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
40,sphinxcontrib-svg2pdfconverter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
41,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
42,pyspark,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
43,func_timeout,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
44,category-encoders,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
45,pynisher,==0.6.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
48,aif360,<0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
57,aif360,==0.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lale/setup.py,extras_require,*@*,*
