,dep,version,filepath,type,condition,status
0,twine,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/requirements-dev.txt,*,*@*,*
1,pygments,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/requirements-dev.txt,*,*@*,*
2,mkdocs,==1.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/requirements-dev.txt,*,*@*,*
3,cython,>=0.28.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/requirements-dev.txt,*,*@*,*
4,bibtexparser,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/requirements-dev.txt,*,*@*,*
5,mkdocs-material,==4.6.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/requirements-dev.txt,*,*@*,*
6,mkdocstrings,==0.18.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/requirements-dev.txt,*,*@*,*
7,google-api-python-client,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/requirements-dev.txt,*,*@*,*
8,google-auth-httplib2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/requirements-dev.txt,*,*@*,*
9,mkdocstrings-python-legacy,==0.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/requirements-dev.txt,*,*@*,*
10,pymdown-extensions,==8.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/requirements-dev.txt,*,*@*,*
11,python-markdown-math,==0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/requirements-dev.txt,*,*@*,*
12,pycodestyle,>=2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/requirements-dev.txt,*,*@*,*
13,mkdocs-bootswatch,==1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/requirements-dev.txt,*,*@*,*
14,google-auth-oauthlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/requirements-dev.txt,*,*@*,*
15,cython,>=0.28.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/setup.py,setup_requires,@*,*
16,numpy,>=1.15.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/setup.py,install_requires,@*,*
17,gym,>=0.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/setup.py,install_requires,@*,*
18,torch,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/setup.py,install_requires,@*,*
19,torchvision,>=0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/setup.py,install_requires,@*,*
20,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/setup.py,install_requires,@*,*
21,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/setup.py,install_requires,@*,*
22,gsutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/setup.py,install_requires,@*,*
23,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/learn2learn/setup.py,install_requires,@*,*
