,dep,version,filepath,type,condition,status
0,sk-video,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
1,flask,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
2,six,==1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
3,cryptography,==3.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
4,pyjwt,==1.6.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
5,dask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
6,flask-restplus,==0.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
7,markupsafe,==2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
8,flask-cors,==3.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
9,Werkzeug,==0.16.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
10,flask-wtf,==0.14.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
11,scikit-image,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
12,aniso8601,==4.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
13,pudb,==2018.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
14,python-igraph,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
15,sqlalchemy,==1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
16,jsonschema,==2.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
17,itsdangerous,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
18,Jinja2,==2.11.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
19,docutils,<0.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
20,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
21,celery,==4.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
22,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
23,pycparser,==2.19,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
24,blinker,==1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
25,urwid,==2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
26,idna,==2.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
27,flask-jwt-extended,==3.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
28,flask-mail,==0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
29,asn1crypto,==0.24.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
30,wtforms,==2.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
31,pytz,==2018.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
32,click,==7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
33,flask-sqlalchemy,==2.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,*,*@*,*
