,dep,version,filepath,bloated,cve,affected versions,advisory
0,sk-video,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,no one,no one,no one
1,flask,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2023-30861,"<2.2.5,>=2.3.0,<2.3.2","Flask is a lightweight WSGI web application framework. When all of the following conditions are met, a response containing data intended for one client may be cached and subsequently sent by the proxy to other clients. If the proxy also caches 'Set-Cookie' headers, it may send one client's 'session' cookie to other clients. The severity depends on the application's use of the session and the proxy's behavior regarding cookies. The risk depends on all these conditions being met.

1. The application must be hosted behind a caching proxy that does not strip cookies or ignore responses with cookies.
2. The application sets 'session.permanent = True'
3. The application does not access or modify the session at any point during a request.
4. 'SESSION_REFRESH_EACH_REQUEST' enabled (the default).
5. The application does not set a 'Cache-Control' header to indicate that a page is private or should not be cached.

This happens because vulnerable versions of Flask only set the 'Vary: Cookie' header when the session is accessed or modified, not when it is refreshed (re-sent to update the expiration) without being accessed or modified. This issue has been fixed in versions 2.3.2 and 2.2.5."
2,six,==1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,no one,no one,no one
3,cryptography,==3.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2023-0215,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
4,cryptography,==3.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2023-0401,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
5,cryptography,==3.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2023-0217,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
6,cryptography,==3.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2022-3996,<39.0.1,"Cryptography 39.0.1 includes a fix for CVE-2022-3996, a DoS vulnerability affecting openssl.
https://github.com/pyca/cryptography/issues/7940"
7,cryptography,==3.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2023-0216,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
8,cryptography,==3.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2022-4203,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
9,cryptography,==3.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2022-4304,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
10,cryptography,==3.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2023-0286,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
11,cryptography,==3.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2022-4450,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
12,cryptography,==3.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2023-2650,<41.0.0,"Cryptography 41.0.0 updates its dependency 'OpenSSL' to v3.1.1 to include a security fix.
https://github.com/pyca/cryptography/commit/8708245ccdeaff21d65eea68a4f8d2a7c5949a22"
13,cryptography,==3.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2023-23931,">=1.8,<39.0.1","Cryptography 39.0.1 includes a fix for CVE-2023-23931: In affected versions 'Cipher.update_into' would accept Python objects which implement the buffer protocol, but provide only immutable buffers. This would allow immutable objects (such as 'bytes') to be mutated, thus violating fundamental rules of Python and resulting in corrupted output. This issue has been present since 'update_into' was originally introduced in cryptography 1.8.
https://github.com/pyca/cryptography/security/advisories/GHSA-w7pp-m8wf-vj6r"
14,cryptography,==3.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2018-10903,">=1.9.0,<2.3",A flaw was found in python-cryptography versions between >=1.9.0 and <2.3. The finalize_with_tag API did not enforce a minimum tag length. If a user did not validate the input length prior to passing it to finalize_with_tag an attacker could craft an invalid payload with a shortened tag (e.g. 1 byte) such that they would have a 1 in 256 chance of passing the MAC check. GCM tag forgeries can cause key leakage. See: CVE-2018-10903.
15,cryptography,==3.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2022-3786,">=37.0.0,<38.0.3","Cryptography versions from 37.0.0 and before 38.0.2 include a statically linked copy of OpenSSL that has known vulnerabilities.
https://github.com/pyca/cryptography/security/advisories/GHSA-39hc-v87j-747x"
16,cryptography,==3.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2022-3602,">=37.0.0,<38.0.3","Cryptography versions from 37.0.0 and before 38.0.2 include a statically linked copy of OpenSSL that has known vulnerabilities.
https://github.com/pyca/cryptography/security/advisories/GHSA-39hc-v87j-747x"
17,pyjwt,==1.6.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2022-29217,">=1.5.0,<2.4.0","PyJWT 2.4.0 includes a fix for CVE-2022-29217: An attacker submitting the JWT token can choose the used signing algorithm. The PyJWT library requires that the application chooses what algorithms are supported. The application can specify 'jwt.algorithms.get_default_algorithms()' to get support for all algorithms, or specify a single algorithm. The issue is not that big as 'algorithms=jwt.algorithms.get_default_algorithms()' has to be used. As a workaround, always be explicit with the algorithms that are accepted and expected when decoding."
18,dask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2021-42343,<2021.10.0,Dask 2021.10.0 includes a fix for CVE-2021-42343: An issue was discovered in the Dask distributed package before 2021.10.0 for Python. Single machine Dask clusters starting with dask.distributed.LocalCluster or dask.distributed.Client (which defaults to using LocalCluster) would mistakenly configure their respective Dask workers to listen on external interfaces (typically with a randomly selected high port) rather than only on localhost. A Dask cluster created using this method (when running on a machine that has an applicable port exposed) could be used by a sophisticated attacker to achieve remote code execution.
19,flask-restplus,==0.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,no one,no one,no one
20,markupsafe,==2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,no one,no one,no one
21,flask-cors,==3.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2020-25032,<3.0.9,Flask-CORS before 3.0.9 allows ../ directory traversal to access private resources because resource matching does not ensure that pathnames are in a canonical format. See CVE-2020-25032.
22,Werkzeug,==0.16.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2023-23934,<2.2.3,"Werkzeug 2.2.3 includes a fix for CVE-2023-23934: Browsers may allow ""nameless"" cookies that look like '=value' instead of 'key=value'. A vulnerable browser may allow a compromised application on an adjacent subdomain to exploit this to set a cookie like '=__Host-test=bad' for another subdomain. Werkzeug prior to 2.2.3 will parse the cookie '=__Host-test=bad' as __Host-test=bad'. If a Werkzeug application is running next to a vulnerable or malicious subdomain which sets such a cookie using a vulnerable browser, the Werkzeug application will see the bad cookie value but the valid cookie key.
https://github.com/pallets/werkzeug/security/advisories/GHSA-px8h-6qxv-m22q"
23,Werkzeug,==0.16.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2023-25577,<2.2.3,"Werkzeug 2.2.3 includes a fix for CVE-2023-25577: Prior to version 2.2.3, Werkzeug's multipart form data parser will parse an unlimited number of parts, including file parts. Parts can be a small amount of bytes, but each requires CPU time to parse and may use more memory as Python data. If a request can be made to an endpoint that accesses 'request.data', 'request.form', 'request.files', or 'request.get_data(parse_form_data=False)', it can cause unexpectedly high resource usage. This allows an attacker to cause a denial of service by sending crafted multipart data to an endpoint that will parse it. The amount of CPU time required can block worker processes from handling legitimate requests. The amount of RAM required can trigger an out of memory kill of the process. Unlimited file parts can use up memory and file handles. If many concurrent requests are sent continuously, this can exhaust or kill all available workers.
https://github.com/pallets/werkzeug/security/advisories/GHSA-xg9f-g7g7-2323"
24,Werkzeug,==0.16.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2019-14806,">=0,<0.15.3","Pallets Werkzeug before 0.15.3, when used with Docker, has insufficient debugger PIN randomness because Docker containers share the same machine id."
25,Werkzeug,==0.16.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/lost/docs/requirements.readthedocs.txt,False,CVE-2019-14322,">=0,<0.15.5","In Pallets Werkzeug before 0.15.5, SharedDataMiddleware mishandles drive names (such as C:) in Windows pathnames."
