,dep,version,filepath,type,condition,status
0,voluptuous,==0.11.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
1,flask,==1.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
2,daiquiri,==1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
3,future,==0.18.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
4,itsdangerous,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
5,s3transfer,==0.3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
6,six,==1.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
7,pebble,==4.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
8,click,==7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
9,h5py,==2.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
10,idna,==2.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
11,boto3,==1.12.39,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
12,aniso8601,==8.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
13,pymongo,==3.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
14,pyyaml,==5.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
15,influxdb,==5.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
16,docutils,==0.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
17,flask-restful,==0.3.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/loudml/requirements.txt,*,*@*,*
