,dep,version,filepath,type,condition,status
0,s3fs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_benchmarking.txt,*,*@*,*
1,neuropod,==0.3.0rc6,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,*,"*@ platform_system != ""Windows"" and python_version < '3.9'",*
2,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,*,*@*,*
3,python-multipart,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,*,*@*,*
4,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,*,*@*,*
5,httpx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,*,*@*,*
6,h5py,">=2.6,!=3.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
7,kaggle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
8,transformers,>=4.31.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
9,filelock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
10,Cython,>=0.25,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
11,tabulate,>=0.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
12,marshmallow-dataclass,==8.5.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
13,pyxlsb,>=1.0.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
14,pandas,">=1.0,!=1.1.5",/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
15,getdaft,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
16,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
17,jsonschema,">=4.5.0,<4.7",/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
18,xlwt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
19,pyarrow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
20,retry,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
21,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
22,torchtext,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
23,sacremoses,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
24,scipy,>=0.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
25,numpy,>=1.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
26,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
27,tensorboard,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
28,tokenizers,>=0.13.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
29,gpustat,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
30,html5lib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
31,xlrd,>=2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,*,*@*,*
