,dep,version,filepath,bloated,cve,affected versions,advisory
0,s3fs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_benchmarking.txt,False,no one,no one,no one
1,neuropod,==0.3.0rc6,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,False,no one,no one,no one
2,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,False,CVE-2020-7695,<0.11.7,"Uvicorn before 0.11.7 is vulnerable to HTTP response splitting. CRLF sequences are not escaped in the value of HTTP headers. Attackers can exploit this to add arbitrary headers to HTTP responses, or even return an arbitrary response body, whenever crafted input is used to construct HTTP headers."
3,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,False,CVE-2020-7694,<0.11.7,"The request logger provided by Uvicorn prior to version 0.11.7 is vulnerable to ASNI escape sequence injection. Whenever any HTTP request is received, the default behaviour of uvicorn is to log its details to either the console or a log file. When attackers request crafted URLs with percent-encoded escape sequences, the logging component will log the URL after it's been processed with urllib.parse.unquote, therefore converting any percent-encoded characters into their single-character equivalent, which can have special meaning in terminal emulators. By requesting URLs with crafted paths, attackers can: * Pollute uvicorn's access logs, therefore jeopardising the integrity of such files. * Use ANSI sequence codes to attempt to interact with the terminal emulator that's displaying the logs (either in real time or from a file). See: CVE-2020-7694."
4,python-multipart,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,False,no one,no one,no one
5,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,False,CVE-2019-11324,<0.18.0,Fastapi 0.18.0 updates its dependency 'urllib3' to v1.24.2 to include a security fix.
6,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,False,PVE-2021-37231,<0.30.0,"Fastapi 0.30.0 avoids/fixes a potential security issue: as the returned object is passed directly to Pydantic, if the returned object was a subclass of the `response_model` (e.g. you return a `UserInDB` that inherits from `User` but contains extra fields, like `hashed_password`, and `User` is used in the `response_model`), it would still pass the validation (because `UserInDB` is a subclass of `User`) and the object would be returned as-is, including the `hashed_password`. To fix this, the declared `response_model` is cloned, if it is a Pydantic model class (or contains Pydantic model classes in it, e.g. in a `List[Item]`), the Pydantic model class(es) will be a different one (the ""cloned"" one). So, an object that is a subclass won't simply pass the validation and returned as-is, because it is no longer a sub-class of the cloned `response_model`. Instead, a new Pydantic model object will be created with the contents of the returned object. So, it will be a new object (made with the data from the returned one), and will be filtered by the cloned `response_model`, containing only the declared fields as normally."
7,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,False,PVE-2021-37428,<0.37.0,Fastapi 0.37.0 fixes a security issue: when returning a sub-class of a response model and using `skip_defaults` it could leak information. See: https://github.com/tiangolo/fastapi/pull/485
8,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,False,CVE-2021-29510,<0.65.1,"Fastapi 0.65.1 upgrades pydantic pin, to handle CVE-2021-29510."
9,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,False,CVE-2021-32677,<0.65.2,"Fastapi version 0.65.2 includes a security fix for CVE-2021-32677: FastAPI versions lower than 0.65.2 that used cookies for authentication in path operations that received JSON payloads sent by browsers were vulnerable to a Cross-Site Request Forgery (CSRF) attack. In versions lower than 0.65.2, FastAPI would try to read the request payload as JSON even if the content-type header sent was not set to application/json or a compatible JSON media type (e.g. application/geo+json). A request with a content type of text/plain containing JSON data would be accepted and the JSON data would be extracted. Requests with content type text/plain are exempt from CORS preflights, for being considered Simple requests. The browser will execute them right away including cookies, and the text content could be a JSON string that would be parsed and accepted by the FastAPI application. The request data is now parsed as JSON only if the content-type header is application/json or another JSON compatible media type like application/geo+json. It's best to upgrade to the latest FastAPI, but if updating is not possible then a middleware or a dependency that checks the content-type header and aborts the request if it is not application/json or another JSON compatible content type can act as a mitigating workaround.
https://github.com/tiangolo/fastapi/security/advisories/GHSA-8h2j-cgx8-6xv7
https://github.com/tiangolo/fastapi/commit/fa7e3c996edf2d5482fff8f9d890ac2390dede4d"
10,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,False,CVE-2021-46708,<0.75.2,Fastapi 0.75.2 updates its NPM dependency 'swagger-ui' to include security fixes.
11,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,False,CVE-2018-25031,<0.75.2,Fastapi 0.75.2 updates its NPM dependency 'swagger-ui' to include security fixes.
12,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,False,CVE-2021-45958,<0.75.2,Fastapi 0.75.2 updates its dependency 'ujson' ranges to include a security fix.
13,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,False,CVE-2023-30798,<0.92.0,Fastapi 0.92.0 updates its dependency 'Starlette' to v0.25.0 to include a security fix.
14,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,False,CVE-2023-29159,<0.95.2,Fastapi 0.95.2 updates its dependency 'Starlette' to versions '>=0.27.0' to include a security fix.
15,httpx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements_serve.txt,False,CVE-2021-41945,<0.23.0,"Httpx 0.23.0 includes a fix for CVE-2021-41945: Encode OSS httpx < 0.23.0 is affected by improper input validation in 'httpx.URL', 'httpx.Client' and some functions using 'httpx.URL.copy_with'."
16,h5py,">=2.6,!=3.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,False,no one,no one,no one
17,kaggle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,False,no one,no one,no one
18,transformers,>=4.31.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,False,no one,no one,no one
19,filelock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,False,no one,no one,no one
20,Cython,>=0.25,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,False,no one,no one,no one
21,tabulate,>=0.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,False,no one,no one,no one
22,marshmallow-dataclass,==8.5.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,False,no one,no one,no one
23,pyxlsb,>=1.0.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,False,no one,no one,no one
24,pandas,">=1.0,!=1.1.5",/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,False,CVE-2020-13091,">=0,<1.0.4","** DISPUTED ** pandas through 1.0.3 can unserialize and execute commands from an untrusted file that is passed to the read_pickle() function, if __reduce__ makes an os.system call. NOTE: third parties dispute this issue because the read_pickle() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner."
25,getdaft,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,False,no one,no one,no one
26,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,False,CVE-2014-1830,<2.3.0,Requests before 2.3.0 exposes Authorization or Proxy-Authorization headers on redirect. This fixes CVE-2014-1830.
27,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,False,CVE-2014-1829,<2.3.0,Requests before 2.3.0 exposes Authorization or Proxy-Authorization headers on redirect. See: CVE-2014-1829.
28,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,False,CVE-2018-18074,<=2.19.1,"Requests before 2.20.0 sends an HTTP Authorization header to an http URI upon receiving a same-hostname https-to-http redirect, which makes it easier for remote attackers to discover credentials by sniffing the network."
29,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ludwig/requirements.txt,False,CVE-2015-2296,">=2.1,<=2.5.3",The resolve_redirects function in sessions.py in requests 2.1.0 through 2.5.3 allows remote attackers to conduct session fixation attacks via a cookie without a host value in a redirect.
