,dep,version,filepath,type,condition,status
0,pillow,>=5.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
1,boto3,==1.24.83,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
2,onnxruntime,==1.11.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
3,jupyter-contrib-nbextensions,==0.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
4,datasets,==2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
5,python-dotenv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
6,logzero,==1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
7,pandas,==1.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
8,torch,==1.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
9,pyarrow,==10.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
10,tensorflow,>=1.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
11,joblib,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
12,numba,>=0.37.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
13,transformers,==4.21.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
14,pyspark,==3.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
15,onnx,==1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
16,jupyter,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
17,nbdime,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
18,fasttext,==0.9.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
19,jupyterthemes,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
20,pybind11,>=2.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
21,keras,>=2.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
22,nmslib,>=1.7.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
23,gensim,>=3.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
24,tqdm,==4.62.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
25,requests,>=2.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
26,torchtext,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
27,knowledge-repo,>=0.7.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
28,h2o,>=3.18.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
29,onnxmltools,==1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
30,mcgen,==0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
31,watermark,==2.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
32,tokenizers,==0.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
33,scikit-learn,==1.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
34,scipy,==1.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
35,matplotlib,==3.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
36,spacy,>=1.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
37,xgboost,==1.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
38,numpy,==1.23.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
39,seaborn,>=0.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
40,lightgbm,==3.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
41,networkx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/requirements.txt,*,*@*,*
42,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/machine-learning/model_deployment/fastapi_kubernetes/app/requirements.txt,*,*@*,*
