,dep,version,filepath,type,condition,status
0,absl-py,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
1,dm-sonnet,==2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
2,imageio,==2.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
3,librosa,==0.7.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
4,matplotlib,==3.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
5,mido,==1.2.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
6,mir_eval,==0.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
7,note-seq,==0.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
8,numba,==0.49.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
9,numpy,==1.21.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
10,Pillow,==9.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
11,pretty_midi,==0.2.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
12,pygtrie,==2.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
13,python-rtmidi,==1.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
14,scikit-image,==0.19.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
15,scipy,==1.7.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
16,six,==1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
17,sk-video,==1.1.10,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
18,sox,==1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
19,tensorflow,==2.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
20,tensorflow-datasets,==4.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
21,tensorflow-probability,==0.17.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
22,tf_slim,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
23,wheel,==0.37.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,install_requires,*@*,*
24,apache-beam,==2.40.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,extras_require,*@*,*
25,pyaudio,==0.2.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,extras_require,*@*,*
26,colorama,==0.4.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,extras_require,*@*,*
27,tflite,==2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,extras_require,*@*,*
28,pylint,==2.14.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,extras_require,*@*,*
29,pytest,==7.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/magenta/setup.py,extras_require,*@*,*
