,dep,version,filepath,type,condition,status
0,readability-lxml,==0.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/extract-article-from-page/src/requirements.txt,*,*@*,*
1,pip,==21.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/extract-article-from-page/src/requirements.txt,*,*@*,*
2,timeout_decorator,==0.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/extract-article-from-page/src/requirements.txt,*,*@*,*
3,networkx,==2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/tools/src/requirements.txt,*,*@*,*
4,requests_mock,==1.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/topics-base/src/requirements.txt,*,*@*,*
5,pyre2,==d48a20aa81a670fa3304a9e3ef6fcb92945c4566,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/topics-base/src/requirements.txt,*,*@special#B.9,*
6,tweepy,==3.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/topics-base/src/requirements.txt,*,*@*,*
7,networkx,==2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/webapp-api/src/requirements.txt,*,*@*,*
8,numpy,==1.19.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/webapp-api/src/requirements.txt,*,*@*,*
9,regex,==2020.11.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/webapp-api/src/requirements.txt,*,*@*,*
10,scipy,==1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/webapp-api/src/requirements.txt,*,*@*,*
11,networkx,==2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/topics-map/src/requirements.txt,*,*@*,*
12,matplotlib,==3.3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/topics-map/src/requirements.txt,*,*@*,*
13,xmltodict,==0.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/topics-map/src/requirements.txt,*,*@*,*
14,python-louvain,==0.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/topics-map/src/requirements.txt,*,*@*,*
15,gensim,==3.8.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/word2vec-generate-snapshot-model/src/requirements.txt,*,*@*,*
16,sqlalchemy,==1.3.22,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/common/src/requirements.txt,*,*@*,*
17,psutil,==5.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/common/src/requirements.txt,*,*@*,*
18,kombu,==4.6.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/common/src/requirements.txt,*,*@*,*
19,flake8,==3.8.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/common/src/requirements.txt,*,*@*,*
20,pytest-asyncio,==0.15.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/common/src/requirements.txt,*,*@*,*
21,hausastemmer,==1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/common/src/requirements.txt,*,*@*,*
22,beautifulsoup4,==4.9.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/common/src/requirements.txt,*,*@*,*
23,urllib3,==1.26.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/mediacloud/apps/common/src/requirements.txt,*,*@*,*
