,dep,version,filepath,type,condition,status
0,numpydoc,==0.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
1,watchdog,==0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
2,streamlit,>=0.57.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
3,unidecode,>=1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
4,Sphinx,==3.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
5,spacy,">=3.0.0,<=3.0.4",/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
6,pytest,==3.8.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
7,emoji,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
8,flashtext,>=2.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
9,transformers,==3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
10,gensim,>=4.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
11,PyYAML,>=4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
12,flake8,==3.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
13,scikit-learn,>=0.23.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
14,coverage,==4.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
15,tensorflow,>=2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/melusine/requirements_dev.txt,*,*@*,*
