,dep,version,filepath,bloated,cve,affected versions,advisory
0,pytest-xdist,>=2.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/test_requirements.txt,False,no one,no one,no one
1,pytest-cov,>=2.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/test_requirements.txt,False,no one,no one,no one
2,filelock,>=3.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/test_requirements.txt,False,no one,no one,no one
3,pytest,>=6.2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/test_requirements.txt,False,no one,no one,no one
4,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/colab_requirements.txt,False,no one,no one,no one
5,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/colab_requirements.txt,False,no one,no one,no one
6,grpcio,>=1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/ml-agents/setup.py,False,no one,no one,no one
7,h5py,>=2.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/ml-agents/setup.py,False,no one,no one,no one
8,numpy,">=1.13.3,<2.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/ml-agents/setup.py,False,CVE-2019-6446,<1.16.3,"Numpy 1.16.3 includes a fix for CVE-2019-6446: It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call.
https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb"
9,numpy,">=1.13.3,<2.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/ml-agents/setup.py,False,CVE-2021-33430,<1.21.0rc1,"Numpy 1.21.0rc1 includes a fix for CVE-2021-33430: A Buffer Overflow vulnerability in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service. 
NOTE: The vendor does not agree this is a vulnerability. In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user.
https://github.com/numpy/numpy/issues/18939"
10,numpy,">=1.13.3,<2.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/ml-agents/setup.py,False,CVE-2021-34141,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-34141: An incomplete string comparison in the numpy.core component in NumPy before 1.22.0 allows attackers to trigger slightly incorrect copying by constructing specific string objects. 
NOTE: the vendor states that this reported code behavior is ""completely harmless.""
https://github.com/numpy/numpy/issues/18993"
11,numpy,">=1.13.3,<2.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/ml-agents/setup.py,False,CVE-2021-41496,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-41496: Buffer overflow in the array_from_pyobj function of fortranobject.c, which allows attackers to conduct a Denial of Service attacks by carefully constructing an array with negative values. 
NOTE: The vendor does not agree this is a vulnerability; the negative dimensions can only be created by an already privileged user (or internally).
https://github.com/numpy/numpy/issues/19000"
12,numpy,">=1.13.3,<2.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/ml-agents/setup.py,False,CVE-2021-41495,<1.22.2,"Numpy 1.22.2  includes a fix for CVE-2021-41495: Null Pointer Dereference vulnerability exists in numpy.sort in NumPy in the PyArray_DescrNew function due to missing return-value validation, which allows attackers to conduct DoS attacks by repetitively creating sort arrays. 
NOTE: While correct that validation is missing, an error can only occur due to an exhaustion of memory. If the user can exhaust memory, they are already privileged. Further, it should be practically impossible to construct an attack which can target the memory exhaustion to occur at exactly this place.
https://github.com/numpy/numpy/issues/19038"
13,Pillow,>=4.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/ml-agents/setup.py,False,CVE-2014-3589,"<2.3.2,>=2.5.0,<2.5.2","Pillow versions 2.3.2 and 2.5.2 include a fix for CVE-2014-3589: PIL/IcnsImagePlugin.py in Python Imaging Library (PIL) and Pillow before 2.3.2 and 2.5.x before 2.5.2 allows remote attackers to cause a denial of service via a crafted block size.
https://github.com/python-pillow/Pillow/commit/205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d"
14,Pillow,>=4.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/ml-agents/setup.py,False,CVE-2019-16865,<6.2.0,"Pillow 6.2.0 includes a fix for CVE-2019-16865: An issue was discovered in Pillow before 6.2.0. When reading specially crafted invalid image files, the library can either allocate very large amounts of memory or take an extremely long period of time to process the image."
15,Pillow,>=4.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/ml-agents/setup.py,False,CVE-2020-5310,<6.2.2,"libImaging/TiffDecode.c in Pillow before 6.2.2 has a TIFF decoding integer overflow, related to realloc."
16,Pillow,>=4.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/ml-agents/setup.py,False,CVE-2020-5311,<6.2.2,libImaging/SgiRleDecode.c in Pillow before 6.2.2 has an SGI buffer overflow.
17,Pillow,>=4.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/ml-agents/setup.py,False,CVE-2020-5313,<6.2.2,libImaging/FliDecode.c in Pillow before 6.2.2 has an FLI buffer overflow.
18,Pillow,>=4.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-agents/ml-agents/setup.py,False,CVE-2020-5312,<6.2.2,libImaging/PcxDecode.c in Pillow before 6.2.2 has a PCX P mode buffer overflow.
