,dep,version,filepath,type,condition,status
0,google-cloud-monitoring,==2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/gcp-gpu-utilization-metrics/requirements.txt,*,*@*,*
1,google-cloud-monitoring,==0.31.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
2,cachetools,==3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
3,protobuf,==3.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
4,requests,==2.21.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
5,itsdangerous,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
6,pytz,==2018.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
7,Pillow,==6.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
8,urllib3,==1.24.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
9,numpy,==1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
10,google-api-core,==1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
11,six,==1.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
12,Werkzeug,==0.15.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
13,termcolor,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
14,google-auth,==1.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
15,chardet,==3.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
16,Markdown,==3.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
17,Click,==7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
18,Jinja2,>=2.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
19,Flask,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
20,pyyaml,>=4.2b1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
21,rsa,==4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
22,certifi,==2018.11.29,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
23,grpcio,==1.17.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
24,googleapis-common-protos,==1.5.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
25,pyasn1-modules,==0.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
26,scipy,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml-on-gcp/dlvm/nvidia/webapp/requirements.txt,*,*@*,*
