,dep,version,filepath,type,condition,status
0,restructuredtext-lint,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/requirements-dev.txt,*,*@*,*
1,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/requirements-dev.txt,*,*@*,*
2,elasticsearch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/requirements-dev.txt,*,*@*,*
3,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/requirements-dev.txt,*,*@*,*
4,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/requirements-dev.txt,*,*@*,*
5,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/requirements-dev.txt,*,*@*,*
6,pygments,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/requirements-dev.txt,*,*@*,*
7,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/requirements-dev.txt,*,*@*,*
8,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/requirements-dev.txt,*,*@*,*
9,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/requirements-dev.txt,*,*@*,*
10,twine,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/requirements-dev.txt,*,*@*,*
11,guzzle_sphinx_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
12,dill,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
13,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
14,joblib,==0.12.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
15,sphinx-rtd-theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
16,sphinxcontrib-websupport,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
17,PyPrind,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
18,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
19,urllib3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
20,sanic,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
21,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
22,imageio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
23,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
24,params-proto,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
25,sphinxcontrib-napoleon,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
26,sanic-cors,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
27,requests-futures,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
28,cloudpickle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
29,termcolor,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
30,ruamel.yaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
31,more-itertools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
32,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
33,typing,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
34,python_dateutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ml_logger/docs/requirements.txt,*,*@*,*
