,dep,version,filepath,type,condition,status
0,pyarrow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/setup.py,extras_require,@*,*
1,requests-auth-aws-sigv4,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/setup.py,extras_require,@*,*
2,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/setup.py,extras_require,@*,*
3,google-cloud-storage,>=1.30.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/setup.py,extras_require,@*,*
4,azureml-core,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/setup.py,extras_require,@*,*
5,pysftp,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/setup.py,extras_require,@*,*
6,kubernetes,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/setup.py,extras_require,@*,*
7,mlserver,">=1.2.0,!=1.3.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/setup.py,extras_require,@*,*
8,mlserver-mlflow,">=1.2.0,!=1.3.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/setup.py,extras_require,@*,*
9,virtualenv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/setup.py,extras_require,@*,*
10,prometheus-flask-exporter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/setup.py,extras_require,@*,*
11,azure-storage-file-datalake,>12,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/setup.py,extras_require,@*,*
13,boto3,>1,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/setup.py,extras_require,@*,*
14,mlflow-dbstore,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/setup.py,extras_require,@*,*
15,aliyunstoreplugin,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/setup.py,extras_require,@*,*
16,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/doc-requirements.txt,*,*@*,*
17,datasets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/doc-requirements.txt,*,*@*,*
18,sphinx-autobuild,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/doc-requirements.txt,*,*@*,*
19,pyspark,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/doc-requirements.txt,*,*@*,*
20,sphinx-click,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/doc-requirements.txt,*,*@*,*
21,sphinx,==3.5.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/doc-requirements.txt,*,*@*,*
22,jinja2,==3.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/doc-requirements.txt,*,*@*,*
23,diviner,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
24,paddlepaddle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
25,openai,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
26,torchvision,>=0.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
27,ffmpeg,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
28,lightgbm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
29,sentencepiece,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
30,spacy,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
31,transformers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
32,torch,>=1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
33,fastai,>=2.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
34,holidays,!=0.25,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
35,tenacity,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
36,tf2onnx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
37,datasets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
38,tiktoken,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mlflow/requirements/extra-ml-requirements.txt,*,*@*,*
