,dep,version,filepath,type,condition,status
0,joblib,>=1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
1,pandas,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
2,category_encoders,>=2.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
3,typing-extensions,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
4,numpy,>=1.19.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
5,matplotlib,>=3.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
6,scikit-learn,>=1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
7,scipy,>=1.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
8,markdown,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
9,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
10,wordcloud,>=1.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
11,optuna,>=2.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
12,catboost,>=0.24.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
13,dtreeviz,>=2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
14,tabulate,>=0.8.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
15,scikit-plot,==0.3.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
16,seaborn,>=0.11.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
17,lightgbm,>=3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
18,xgboost,>=1.3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
19,shap,>=0.36.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements.txt,*,*@*,*
20,coveralls,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements_dev.txt,*,*@*,*
21,pytest,==5.3.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements_dev.txt,*,*@*,*
22,black,==19.3b0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements_dev.txt,*,*@*,*
23,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/requirements_dev.txt,*,*@*,*
24,joblib,>=1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
25,pandas,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
26,category_encoders,>=2.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
27,typing-extensions,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
28,numpy,>=1.19.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
29,matplotlib,>=3.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
30,scikit-learn,>=1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
31,scipy,>=1.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
32,markdown,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
33,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
34,wordcloud,>=1.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
35,optuna,>=2.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
36,catboost,>=0.24.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
37,dtreeviz,>=2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
38,tabulate,>=0.8.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
39,scikit-plot,==0.3.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
40,seaborn,>=0.11.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
41,lightgbm,>=3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
42,xgboost,>=1.3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
43,shap,>=0.36.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mljar-supervised/setup.py,install_requires,@*,*
