,dep,version,filepath,type,condition,status
0,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,*,*@*,*
1,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,*,*@*,*
2,regex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,*,*@sys_platform=='win32',*
3,yapf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,*,*@*,*
4,mmengine,>=0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,*,*@*,*
5,addict,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,*,*@*,*
6,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,*,*@*,*
7,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,*,*@*,*
8,pytest-runner,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/build.txt,*,*@*,*
9,onnxruntime,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/test.txt,*,*@*,*
10,onnx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/test.txt,*,*@*,*
11,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/test.txt,*,*@*,*
12,lmdb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/test.txt,*,*@*,*
13,PyTurboJPEG,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/test.txt,*,*@*,*
14,tifffile,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/test.txt,*,*@*,*
15,coverage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/test.txt,*,*@*,*
16,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/test.txt,*,*@*,*
17,onnxoptimizer,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/test.txt,*,*@*,*
18,ninja,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/optional.txt,*,*@*,*
19,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/optional.txt,*,*@*,*
20,sphinx-copybutton,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/docs.txt,*,*@*,*
21,docutils,==0.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/docs.txt,*,*@*,*
22,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/docs.txt,*,*@*,*
23,myst-parser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/docs.txt,*,*@*,*
24,pytorch_sphinx_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/docs.txt,*,*@special#B.9 B.11,*
25,sphinx,==4.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/docs.txt,*,*@*,*
26,markdown,>=3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/docs.txt,*,*@*,*
27,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/docs.txt,*,*@*,*
28,sphinx_markdown_tables,>=0.0.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/docs.txt,*,*@*,*
29,urllib3,<2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/docs.txt,*,*@*,*
