,dep,version,filepath,bloated,cve,affected versions,advisory
0,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2017-18342,<4,Pyyaml before 4 uses ``yaml.load`` which has been assigned CVE-2017-18342.
1,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2020-1747,<5.3.1,"Pyyaml 5.3.1 includes a fix for CVE-2020-1747: A vulnerability was discovered in the PyYAML library in versions before 5.3.1, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. An attacker could use this flaw to execute arbitrary code on the system by abusing the python/object/new constructor."
2,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2020-14343,<5.4,"Pyyaml version 5.4 includes a fix for CVE-2020-14343: A vulnerability was discovered in the PyYAML library in versions before 5.4, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. This flaw allows an attacker to execute arbitrary code on the system by abusing the python/object/new constructor. This flaw is due to an incomplete fix for CVE-2020-1747.
https://bugzilla.redhat.com/show_bug.cgi?id=1860466"
3,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2019-20477,">=5.1,<=5.1.2","PyYAML 5.1 through 5.1.2 has insufficient restrictions on the load and load_all functions because of a class deserialization issue, e.g., Popen is a class in the subprocess module. See CVE-2019-20477. NOTE: this issue exists because of an incomplete fix for CVE-2017-18342."
4,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,no one,no one,no one
5,regex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,no one,no one,no one
6,yapf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,no one,no one,no one
7,mmengine,>=0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,no one,no one,no one
8,addict,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,no one,no one,no one
9,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2014-1932,<2.3.1,pillow before 2.3.1 makes insecure use of tempfile.mktemp (CVE-2014-1932).
10,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2014-1933,<2.3.1,pillow before 2.3.1 makes insecure use of tempfile.mktemp (CVE-2014-1933).
11,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2014-3589,"<2.3.2,>=2.5.0,<2.5.2","Pillow versions 2.3.2 and 2.5.2 include a fix for CVE-2014-3589: PIL/IcnsImagePlugin.py in Python Imaging Library (PIL) and Pillow before 2.3.2 and 2.5.x before 2.5.2 allows remote attackers to cause a denial of service via a crafted block size.
https://github.com/python-pillow/Pillow/commit/205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d"
12,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2014-3007,<2.5.0,"Pillow 2.5.0 includes a fix that prevents shell injection.
https://github.com/python-pillow/Pillow/pull/731"
13,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2014-3598,<2.5.3,pillow before 2.5.3 is vulnerable to a DoS in the Jpeg2KImagePlugin.
14,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2014-9601,<2.6.2,Pillow before 2.6.2 is vulnerable to a PNG decompression DoS (CVE-2014-9601).
15,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2016-0775,<3.1.1,Buffer overflow in the ImagingFliDecode function in libImaging/FliDecode.c in Pillow before 3.1.1 allows remote attackers to cause a denial of service (crash) via a crafted FLI file.
16,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2016-0740,<3.1.1,Buffer overflow in the ImagingLibTiffDecode function in libImaging/TiffDecode.c in Pillow before 3.1.1 allows remote attackers to overwrite memory via a crafted TIFF file.
17,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2016-2533,<3.1.1,Buffer overflow in the ImagingPcdDecode function in PcdDecode.c in Pillow before 3.1.1 and Python Imaging Library (PIL) 1.1.7 and earlier allows remote attackers to cause a denial of service (crash) via a crafted PhotoCD file.
18,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2016-4009,<3.1.1,"Integer overflow in the ImagingResampleHorizontal function in libImaging/Resample.c in Pillow before 3.1.1 allows remote attackers to have unspecified impact via negative values of the new size, which triggers a heap-based buffer overflow."
19,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2016-3076,<3.1.2,pillow before 3.1.2 is vulnerable to an integer overflow in Jpeg2KEncode.c causing a buffer overflow. CVE-2016-3076.
20,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2016-9189,<3.3.2,"Pillow before 3.3.2 allows context-dependent attackers to obtain sensitive information by using the ""crafted image file"" approach, related to an ""Integer Overflow"" issue affecting the Image.core.map_buffer in map.c component."
21,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2016-9190,<3.3.2,"Pillow before 3.3.2 allows context-dependent attackers to execute arbitrary code by using the ""crafted image file"" approach, related to an ""Insecure Sign Extension"" issue affecting the ImagingNew in Storage.c component."
22,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2019-16865,<6.2.0,"Pillow 6.2.0 includes a fix for CVE-2019-16865: An issue was discovered in Pillow before 6.2.0. When reading specially crafted invalid image files, the library can either allocate very large amounts of memory or take an extremely long period of time to process the image."
23,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2020-5310,<6.2.2,"libImaging/TiffDecode.c in Pillow before 6.2.2 has a TIFF decoding integer overflow, related to realloc."
24,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2020-5311,<6.2.2,libImaging/SgiRleDecode.c in Pillow before 6.2.2 has an SGI buffer overflow.
25,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2020-5313,<6.2.2,libImaging/FliDecode.c in Pillow before 6.2.2 has an FLI buffer overflow.
26,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmcv/requirements/runtime.txt,False,CVE-2020-5312,<6.2.2,libImaging/PcxDecode.c in Pillow before 6.2.2 has a PCX P mode buffer overflow.
