,dep,version,filepath,type,condition,status
0,urllib3,<2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/readthedocs.txt,*,*@*,*
1,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/readthedocs.txt,*,*@*,*
2,mmcv,">=2.0.0rc4,<2.1.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/readthedocs.txt,*,*@*,*
3,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/readthedocs.txt,*,*@*,*
4,mmengine,">=0.7.1,<1.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/readthedocs.txt,*,*@*,*
5,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/readthedocs.txt,*,*@*,*
6,albumentations,">=0.3.2 --no-binary qudida,albumentations",/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/albu.txt,*,*@*,*
7,transformers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
8,memory_profiler,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
9,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
10,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
11,parameterized,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
12,isort,==4.3.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
13,xdoctest,>=0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
14,mmtrack,==dev-1.x,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@special#B.9,*
15,kwarray,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
16,asynctest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
17,ubelt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
18,imagecorruptions,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
19,interrogate,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
20,prettytable,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
21,onnxruntime,>=1.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
22,cityscapesscripts,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
23,protobuf,<=3.20.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
24,onnx,==1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
25,codecov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
26,instaboostfast,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
27,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
28,yapf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
29,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tests.txt,*,*@*,*
30,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/multimodal.txt,*,*@*,*
31,pycocoevalcap,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/multimodal.txt,*,*@*,*
32,transformers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/multimodal.txt,*,*@*,*
33,seaborn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tracking.txt,*,*@*,*
34,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tracking.txt,*,*@*,*
35,numpy,<1.24.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tracking.txt,*,*@*,*
36,motmetrics,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tracking.txt,*,*@*,*
37,mmpretrain,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/tracking.txt,*,*@*,*
38,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/runtime.txt,*,*@*,*
39,pycocotools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/runtime.txt,*,*@*,*
40,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/runtime.txt,*,*@*,*
41,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/runtime.txt,*,*@*,*
42,terminaltables,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/runtime.txt,*,*@*,*
43,shapely,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/runtime.txt,*,*@*,*
44,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/runtime.txt,*,*@*,*
45,cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/build.txt,*,*@*,*
46,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/build.txt,*,*@*,*
47,mmcv,">=2.0.0rc4,<2.1.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/mminstall.txt,*,*@*,*
48,mmengine,">=0.7.1,<1.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/mminstall.txt,*,*@*,*
49,cityscapesscripts,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/optional.txt,*,*@*,*
50,imagecorruptions,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/optional.txt,*,*@*,*
51,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/optional.txt,*,*@*,*
52,urllib3,<2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/docs.txt,*,*@*,*
53,pytorch_sphinx_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/docs.txt,*,*@special#B.9 B.11,*
54,sphinx-copybutton,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/docs.txt,*,*@*,*
55,sphinx_markdown_tables,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/docs.txt,*,*@*,*
56,sphinx,==4.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/docs.txt,*,*@*,*
57,sphinx_rtd_theme,==0.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/docs.txt,*,*@*,*
58,myst-parser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/docs.txt,*,*@*,*
59,docutils,==0.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmdetection/requirements/docs.txt,*,*@*,*
