,dep,version,filepath,bloated,cve,affected versions,advisory
0,ftfy,==5.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmf/requirements.txt,False,no one,no one,no one
1,iopath,==0.1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmf/requirements.txt,False,no one,no one,no one
2,tqdm,">=4.43.0,<4.50.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/mmf/requirements.txt,False,no one,no one,no one
3,nltk,==3.6.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmf/requirements.txt,False,CVE-2019-14751,">=0,<3.4.5","NLTK Downloader before 3.4.5 is vulnerable to a directory traversal, allowing attackers to write arbitrary files via a (dot dot slash) in an NLTK package (ZIP archive) that is mishandled during extraction."
4,nltk,==3.6.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmf/requirements.txt,False,CVE-2021-3828,">=0,<3.6.4",Nltk before 3.6.4 is vulnerable to Inefficient Regular Expression Complexity.
5,nltk,==3.6.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmf/requirements.txt,False,CVE-2021-3842,">=0,<3.6.6",Nltk before 3.6.6 is vulnerable to Inefficient Regular Expression Complexity.
6,termcolor,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmf/requirements.txt,False,no one,no one,no one
7,transformers,">=3.4.0, <=4.10.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/mmf/requirements.txt,False,CVE-2022-1941,<4.23.0,Transformers 4.23.0 updates its dependency 'protobuf' requirement to '<=3.20.2' to include a security fix.
8,transformers,">=3.4.0, <=4.10.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/mmf/requirements.txt,False,PVE-2022-51450,<4.23.0,"Transformers 4.23.0 includes a fix for a link vulnerable to repojacking.
https://github.com/huggingface/transformers/commit/ce2620194b4a8f070cd29504d34a79758affdf95"
9,transformers,">=3.4.0, <=4.10.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/mmf/requirements.txt,False,PVE-2021-40187,<4.5.0,Transformers 4.5.0 includes various vulnerability fixes.
10,torchvision,==0.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmf/requirements.txt,False,no one,no one,no one
11,numpy,">=1.16.6, <=1.21.4",/home/daniele/git/NICHE_projects/Repo/Cloneables/mmf/requirements.txt,False,CVE-2017-12852,<1.13.2,"Numpy 1.13.2 includes a fix for CVE-2017-12852: The numpy.pad function in Numpy 1.13.1 and older versions is missing input validation. An empty list or ndarray will stick into an infinite loop, which can allow attackers to cause a DoS attack.
https://github.com/numpy/numpy/issues/9560#issuecomment-322395292"
12,numpy,">=1.16.6, <=1.21.4",/home/daniele/git/NICHE_projects/Repo/Cloneables/mmf/requirements.txt,False,CVE-2019-6446,<1.16.3,"Numpy 1.16.3 includes a fix for CVE-2019-6446: It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call.
https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb"
