,dep,version,filepath,bloated,cve,affected versions,advisory
0,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmfashion/requirements/tests.txt,False,no one,no one,no one
1,isort,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmfashion/requirements/tests.txt,False,no one,no one,no one
2,yapf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmfashion/requirements/tests.txt,False,no one,no one,no one
3,mmcv,>=0.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmfashion/requirements/runtime.txt,False,no one,no one,no one
4,scikit-image,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmfashion/requirements/runtime.txt,False,no one,no one,no one
5,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmfashion/requirements/runtime.txt,False,no one,no one,no one
6,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmfashion/requirements/runtime.txt,False,no one,no one,no one
7,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmfashion/requirements/runtime.txt,False,CVE-2017-12852,<1.13.2,"Numpy 1.13.2 includes a fix for CVE-2017-12852: The numpy.pad function in Numpy 1.13.1 and older versions is missing input validation. An empty list or ndarray will stick into an infinite loop, which can allow attackers to cause a DoS attack.
https://github.com/numpy/numpy/issues/9560#issuecomment-322395292"
8,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmfashion/requirements/runtime.txt,False,CVE-2019-6446,<1.16.3,"Numpy 1.16.3 includes a fix for CVE-2019-6446: It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call.
https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb"
9,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mmfashion/requirements/runtime.txt,False,CVE-2021-33430,<1.21.0rc1,"Numpy 1.21.0rc1 includes a fix for CVE-2021-33430: A Buffer Overflow vulnerability in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service. 
NOTE: The vendor does not agree this is a vulnerability. In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user.
https://github.com/numpy/numpy/issues/18939"
