,dep,version,filepath,type,condition,status
0,absl-py,">=0.9,<2.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,install_requires,@*,*
1,apache-beam,">=2.47,<3",/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,install_requires,@*,*
2,ipython,">=7,<8",/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,install_requires,@*,*
3,ipywidgets,">=7,<8",/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,install_requires,@*,*
4,numpy,>=1.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,install_requires,@*,*
5,pandas,">=1.0,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,install_requires,@*,*
6,pillow,>=9.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,install_requires,@*,*
7,protobuf,">=3.20.3,<5",/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,install_requires,@*,*
8,pyarrow,">=10,<11",/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,install_requires,@*,*
9,scipy,">=1.4.1,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,install_requires,@*,*
10,six,">=1.12,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,install_requires,@*,*
11,attrs,">=19.3.0,<22",/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,install_requires,@*,*
12,tensorflow,">=2.13,<3",/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,install_requires,@*,*
13,tensorflow-metadata,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,install_requires,*@*,*
14,tfx-bsl,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,install_requires,*@*,*
15,tensorflowjs,">=4.5.0,<5",/home/daniele/git/NICHE_projects/Repo/Cloneables/model-analysis/setup.py,extras_require,*@*,*
