,dep,version,filepath,type,condition,status
0,ovmsclient,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/image_classification_using_tf_model/python/requirements.txt,*,*@*,*
1,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/image_classification_using_tf_model/python/requirements.txt,*,*@*,*
2,ovmsclient,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/face_blur/python/requirements.txt,*,*@*,*
3,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/face_blur/python/requirements.txt,*,*@*,*
4,validators,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/bert_question_answering/python/requirements.txt,*,*@*,*
5,ovmsclient,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/bert_question_answering/python/requirements.txt,*,*@*,*
6,kaldi-python-io,==1.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/speech_recognition_with_kaldi_model/python/requirements.txt,*,*@*,*
7,ovmsclient,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/segmentation_using_paddlepaddle_model/python/requirements.txt,*,*@*,*
8,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/segmentation_using_paddlepaddle_model/python/requirements.txt,*,*@*,*
9,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/real_time_stream_analysis/python/requirements.txt,*,*@*,*
10,ovmsclient,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/real_time_stream_analysis/python/requirements.txt,*,*@*,*
11,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/real_time_stream_analysis/python/requirements.txt,*,*@*,*
12,opencv-python,>=4.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/common/python/requirements.txt,*,*@*,*
13,tensorflow-serving-api,==2.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/common/python/requirements.txt,*,*@*,*
14,futures,==3.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/common/python/requirements.txt,*,*@*,*
15,onnxruntime,==1.14.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/gptj_causal_lm/python/requirements.txt,*,*@*,*
16,torch,==1.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/gptj_causal_lm/python/requirements.txt,*,*@*,*
17,numpy,==1.23,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/gptj_causal_lm/python/requirements.txt,*,*@*,*
18,ovmsclient,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/gptj_causal_lm/python/requirements.txt,*,*@*,*
19,accelerate,==0.17.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/gptj_causal_lm/python/requirements.txt,*,*@*,*
20,transformers,==4.26.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/gptj_causal_lm/python/requirements.txt,*,*@*,*
22,tensorflow-serving-api,==2.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/model_server/demos/universal-sentence-encoder/requirements.txt,*,*@*,*
