,dep,version,filepath,type,condition,status
0,paddleseg,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-LiteSeg/APP/requirement.txt,*,*@*,*
1,gradio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-LiteSeg/APP/requirement.txt,*,*@*,*
2,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-LiteSeg/APP/requirement.txt,*,*@*,*
3,paddlepaddle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-LiteSeg/APP/requirement.txt,*,*@*,*
4,pyyaml,>= 5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-LiteSeg/APP/requirement.txt,*,*@*,*
5,gradio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-LCNet/APP/requirements.txt,*,*@*,*
6,paddleclas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-LCNet/APP/requirements.txt,*,*@*,*
7,paddlepaddle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-LCNet/APP/requirements.txt,*,*@*,*
8,PyYAML,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-YOLOE/APP/requirements.txt,*,*@*,*
9,shapely,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-YOLOE/APP/requirements.txt,*,*@*,*
10,setuptools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-YOLOE/APP/requirements.txt,*,*@*,*
11,gradio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-YOLOE/APP/requirements.txt,*,*@*,*
12,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-YOLOE/APP/requirements.txt,*,*@*,*
13,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-YOLOE/APP/requirements.txt,*,*@*,*
14,paddlepaddle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-YOLOE/APP/requirements.txt,*,*@*,*
15,Cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-YOLOE/APP/requirements.txt,*,*@*,*
16,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/models/modelcenter/PP-YOLOE/APP/requirements.txt,*,*@*,*
