,dep,version,filepath,type,condition,status
0,sacrebleu,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/modernmt/requirements.txt,*,*@*,*
1,tensorboardX,==1.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/modernmt/requirements.txt,*,*@*,*
2,cachetools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/modernmt/requirements.txt,*,*@*,*
3,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/modernmt/requirements.txt,*,*@*,*
4,regex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/modernmt/requirements.txt,*,*@*,*
5,torch,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/modernmt/requirements.txt,*,*@*,*
6,fairseq,==0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/modernmt/requirements.txt,*,*@*,*
7,torch,==1.7.1+cu110,/home/daniele/git/NICHE_projects/Repo/Cloneables/modernmt/requirements_cuda-11.txt,*,*@*,*
8,sacrebleu,==1.4.14,/home/daniele/git/NICHE_projects/Repo/Cloneables/modernmt/requirements_cuda-11.txt,*,*@*,*
9,cachetools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/modernmt/requirements_cuda-11.txt,*,*@*,*
10,fairseq,==0.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/modernmt/requirements_cuda-11.txt,*,*@*,*
11,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/modernmt/requirements_cuda-11.txt,*,*@*,*
12,regex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/modernmt/requirements_cuda-11.txt,*,*@*,*
13,tensorboardX,==2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/modernmt/requirements_cuda-11.txt,*,*@*,*
