,dep,version,filepath,bloated,cve,affected versions,advisory
0,colorlog,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,no one,no one,no one
1,seqeval,==0.0.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,no one,no one,no one
2,sentencepiece,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,no one,no one,no one
3,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,PVE-2021-41708,<1.4.5,"Boto3 version 1.4.5 fixes an information exposure vulnerability: The boto logger boto3.resources.action, which propagates to root logger, logs the entire uploaded bytes at INFO level.
https://github.com/boto/boto3/issues/1017"
4,transformers,==4.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,CVE-2022-1941,<4.23.0,Transformers 4.23.0 updates its dependency 'protobuf' requirement to '<=3.20.2' to include a security fix.
5,transformers,==4.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,PVE-2022-51450,<4.23.0,"Transformers 4.23.0 includes a fix for a link vulnerable to repojacking.
https://github.com/huggingface/transformers/commit/ce2620194b4a8f070cd29504d34a79758affdf95"
6,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,PVE-2022-52255,<0.24.2,"Scikit-learn 0.24.2 includes a fix for a ReDoS vulnerability.
https://github.com/scikit-learn/scikit-learn/issues/19522"
7,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,CVE-2020-13092,">=0,<0.23.1","** DISPUTED ** scikit-learn (aka sklearn) through 0.23.0 can unserialize and execute commands from an untrusted file that is passed to the joblib.load() function, if __reduce__ makes an os.system call. NOTE: third parties dispute this issue because the joblib.load() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner."
8,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,CVE-2020-28975,">=0,<0.24.dev0","** DISPUTED ** svm_predict_values in svm.cpp in Libsvm v324, as used in scikit-learn 0.23.2 and other products, allows attackers to cause a denial of service (segmentation fault) via a crafted model SVM (introduced via pickle, json, or any other model permanence standard) with a large value in the _n_support array. NOTE: the scikit-learn vendor's position is that the behavior can only occur if the library's API is violated by an application that changes a private attribute."
9,torch,==1.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,CVE-2022-45907,">=0,<1.13.1","Torch 1.13.1 includes a fix for CVE-2022-45907: In PyTorch before trunk/89695, torch.jit.annotations.parse_type_line can cause arbitrary code execution because eval is used unsafely.
https://github.com/pytorch/pytorch/issues/88868"
10,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,CVE-2017-18342,<4,Pyyaml before 4 uses ``yaml.load`` which has been assigned CVE-2017-18342.
11,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,CVE-2020-1747,<5.3.1,"Pyyaml 5.3.1 includes a fix for CVE-2020-1747: A vulnerability was discovered in the PyYAML library in versions before 5.3.1, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. An attacker could use this flaw to execute arbitrary code on the system by abusing the python/object/new constructor."
12,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,CVE-2020-14343,<5.4,"Pyyaml version 5.4 includes a fix for CVE-2020-14343: A vulnerability was discovered in the PyYAML library in versions before 5.4, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. This flaw allows an attacker to execute arbitrary code on the system by abusing the python/object/new constructor. This flaw is due to an incomplete fix for CVE-2020-1747.
https://bugzilla.redhat.com/show_bug.cgi?id=1860466"
13,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,CVE-2019-20477,">=5.1,<=5.1.2","PyYAML 5.1 through 5.1.2 has insufficient restrictions on the load and load_all functions because of a class deserialization issue, e.g., Popen is a class in the subprocess module. See CVE-2019-20477. NOTE: this issue exists because of an incomplete fix for CVE-2017-18342."
14,tensorboard,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,no one,no one,no one
15,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,CVE-2016-10075,<4.11.2,The tqdm._version module in tqdm versions before 4.11.2 allows local users to execute arbitrary code via a crafted repo with a malicious git log in the current working directory.
16,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,no one,no one,no one
17,regex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,no one,no one,no one
18,tensorboardX,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,no one,no one,no one
19,apex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,no one,no one,no one
20,future,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,CVE-2022-40899,<=0.18.2,"Future 0.18.2 and earlier allows remote attackers to cause a denial of service via crafted Set-Cookie header from malicious web server.
https://github.com/PythonCharmers/python-future/blob/master/src/future/backports/http/cookiejar.py#L215
https://github.com/python/cpython/pull/17157"
21,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,CVE-2017-12852,<1.13.2,"Numpy 1.13.2 includes a fix for CVE-2017-12852: The numpy.pad function in Numpy 1.13.1 and older versions is missing input validation. An empty list or ndarray will stick into an infinite loop, which can allow attackers to cause a DoS attack.
https://github.com/numpy/numpy/issues/9560#issuecomment-322395292"
22,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,CVE-2019-6446,<1.16.3,"Numpy 1.16.3 includes a fix for CVE-2019-6446: It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call.
https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb"
23,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,CVE-2021-33430,<1.21.0rc1,"Numpy 1.21.0rc1 includes a fix for CVE-2021-33430: A Buffer Overflow vulnerability in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service. 
NOTE: The vendor does not agree this is a vulnerability. In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user.
https://github.com/numpy/numpy/issues/18939"
24,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/mt-dnn/requirements.txt,False,CVE-2021-34141,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-34141: An incomplete string comparison in the numpy.core component in NumPy before 1.22.0 allows attackers to trigger slightly incorrect copying by constructing specific string objects. 
NOTE: the vendor states that this reported code behavior is ""completely harmless.""
https://github.com/numpy/numpy/issues/18993"
