,dep,version,filepath,type,condition,status
0,termcolor,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/setup.py,install_requires,@*,*
1,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/setup.py,install_requires,@*,*
2,elasticsearch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/setup.py,install_requires,@*,*
3,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/setup.py,install_requires,@*,*
4,jsonpath-ng,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/setup.py,install_requires,@*,*
5,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/setup.py,install_requires,@*,*
6,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/setup.py,install_requires,@*,*
7,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/setup.py,extras_require,@*,*
8,transformers,==2.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/setup.py,extras_require,@*,*
9,tensorflow,>=2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/setup.py,extras_require,@*,*
10,sentencepiece,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/setup.py,extras_require,@*,*
14,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/docs/requirements.txt,*,*@*,*
15,termcolor,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/docs/requirements.txt,*,*@*,*
16,sphinx-markdown-tables,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/docs/requirements.txt,*,*@*,*
17,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/docs/requirements.txt,*,*@*,*
18,httptools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/docs/requirements.txt,*,*@*,*
19,sphinx-autodoc-typehints,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/docs/requirements.txt,*,*@*,*
20,sphinx-argparse,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/docs/requirements.txt,*,*@*,*
21,elasticsearch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/docs/requirements.txt,*,*@*,*
22,sphinxcontrib-apidoc,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nboost/docs/requirements.txt,*,*@*,*
