,dep,version,filepath,bloated,cve,affected versions,advisory
0,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/neuralcoref/requirements.txt,False,no one,no one,no one
1,spacy,">=2.1.0,<3.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/neuralcoref/requirements.txt,False,no one,no one,no one
2,cython,>=0.25,/home/daniele/git/NICHE_projects/Repo/Cloneables/neuralcoref/requirements.txt,False,no one,no one,no one
3,numpy,>=1.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/neuralcoref/setup.py,False,CVE-2019-6446,<1.16.3,"Numpy 1.16.3 includes a fix for CVE-2019-6446: It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call.
https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb"
4,numpy,>=1.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/neuralcoref/setup.py,False,CVE-2021-33430,<1.21.0rc1,"Numpy 1.21.0rc1 includes a fix for CVE-2021-33430: A Buffer Overflow vulnerability in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service. 
NOTE: The vendor does not agree this is a vulnerability. In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user.
https://github.com/numpy/numpy/issues/18939"
5,numpy,>=1.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/neuralcoref/setup.py,False,CVE-2021-34141,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-34141: An incomplete string comparison in the numpy.core component in NumPy before 1.22.0 allows attackers to trigger slightly incorrect copying by constructing specific string objects. 
NOTE: the vendor states that this reported code behavior is ""completely harmless.""
https://github.com/numpy/numpy/issues/18993"
6,numpy,>=1.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/neuralcoref/setup.py,False,CVE-2021-41496,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-41496: Buffer overflow in the array_from_pyobj function of fortranobject.c, which allows attackers to conduct a Denial of Service attacks by carefully constructing an array with negative values. 
NOTE: The vendor does not agree this is a vulnerability; the negative dimensions can only be created by an already privileged user (or internally).
https://github.com/numpy/numpy/issues/19000"
7,numpy,>=1.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/neuralcoref/setup.py,False,CVE-2021-41495,<1.22.2,"Numpy 1.22.2  includes a fix for CVE-2021-41495: Null Pointer Dereference vulnerability exists in numpy.sort in NumPy in the PyArray_DescrNew function due to missing return-value validation, which allows attackers to conduct DoS attacks by repetitively creating sort arrays. 
NOTE: While correct that validation is missing, an error can only occur due to an exhaustion of memory. If the user can exhaust memory, they are already privileged. Further, it should be practically impossible to construct an attack which can target the memory exhaustion to occur at exactly this place.
https://github.com/numpy/numpy/issues/19038"
8,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/neuralcoref/setup.py,False,PVE-2021-41708,<1.4.5,"Boto3 version 1.4.5 fixes an information exposure vulnerability: The boto logger boto3.resources.action, which propagates to root logger, logs the entire uploaded bytes at INFO level.
https://github.com/boto/boto3/issues/1017"
9,requests,">=2.13.0,<3.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/neuralcoref/setup.py,False,CVE-2018-18074,<=2.19.1,"Requests before 2.20.0 sends an HTTP Authorization header to an http URI upon receiving a same-hostname https-to-http redirect, which makes it easier for remote attackers to discover credentials by sniffing the network."
