,dep,version,filepath,type,condition,status
0,isort,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/requirements.txt,*,*@*,*
1,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/requirements.txt,*,*@*,*
2,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/requirements.txt,*,*@*,*
3,torchtestcase,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/requirements.txt,*,*@*,*
4,autoflake,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/requirements.txt,*,*@*,*
5,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/requirements.txt,*,*@*,*
6,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/requirements.txt,*,*@*,*
7,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/requirements.txt,*,*@*,*
8,tensorboard,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/requirements.txt,*,*@*,*
9,umnn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/requirements.txt,*,*@*,*
10,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/requirements.txt,*,*@*,*
11,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/requirements.txt,*,*@*,*
12,black,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/requirements.txt,*,*@*,*
13,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/setup.py,install_requires,@*,*
14,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/setup.py,install_requires,@*,*
15,tensorboard,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/setup.py,install_requires,@*,*
16,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/setup.py,install_requires,@*,*
17,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/setup.py,install_requires,@*,*
18,umnn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nflows/setup.py,install_requires,@*,*
