,dep,version,filepath,type,condition,status
0,h5py,==2.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
1,spacy,==2.1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
2,numpy,==1.17,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
3,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
4,gensim,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
5,transformers,==2.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
6,future,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
7,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
8,tensorflow,==1.15.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
9,seqeval,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
10,tqdm,==4.35.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
11,dynet,==2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
12,torch,==1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
13,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
14,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
15,scikit-learn,==0.20.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
16,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/requirements.txt,*,*@*,*
17,tensorflow_hub,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
18,elasticsearch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
19,wordfreq,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
20,newspaper3k,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
21,pywikibot,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
22,num2words,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
23,bokeh,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
24,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
25,hyperopt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
26,termcolor,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
27,sphinx,==1.8.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
28,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
29,flake8-html,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
30,black,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
31,pep8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
32,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
33,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
34,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
35,pytest-mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
36,pytest-xdist,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
37,pylint,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/setup.py,extras_require,*@*,*
38,bokeh,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/set_expansion/requirements.txt,*,*@*,*
39,regex,==2020.10.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
40,smart-open,==3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
41,tornado,==6.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
42,preshed,==2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
43,pytz,==2020.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
44,tensorflow,==1.15.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
45,Keras-Applications,==1.0.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
46,zipp,==3.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
47,boto3,==1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
48,chardet,==3.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
49,gensim,==3.8.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
50,pycrypto,==2.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
51,jmespath,==0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
52,cryptography,==2.1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
53,blis,==0.2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
54,tqdm,==4.35.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
55,gast,==0.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
56,protobuf,==3.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
57,Werkzeug,==1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
58,pyparsing,==2.4.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
59,seqeval,==1.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
60,Cython,==0.29.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
61,python-dateutil,==2.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
62,scipy,==1.5.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
63,certifi,==2020.6.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
64,botocore,==1.19.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
65,urllib3,==1.25.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
66,sacremoses,==0.0.43,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
67,keyring,==10.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
68,transformers,==2.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
69,astor,==0.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
70,idna,==2.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
71,Pillow,==8.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
72,cymem,==2.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
73,tokenizers,==0.0.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
74,asn1crypto,==0.24.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
75,Keras-Preprocessing,==1.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
76,Markdown,==3.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
77,plac,==0.9.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
78,filelock,==3.0.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
79,MarkupSafe,==1.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
80,srsly,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
81,termcolor,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
82,Jinja2,==2.11.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
83,bokeh,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
84,six,==1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
85,requests,==2.24.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
86,thinc,==7.0.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
87,s3transfer,==0.3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
88,sentencepiece,==0.1.91,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
89,future,==0.18.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
90,torch,==1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
91,PyYAML,==5.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
92,h5py,==2.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
93,scikit-learn,==0.20.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
94,wasabi,==0.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
95,click,==7.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
96,joblib,==0.17.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
97,murmurhash,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
98,spacy,==2.1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
99,opt-einsum,==3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
100,grpcio,==1.32.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
101,google-pasta,==0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
102,keyrings.alt,==3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
103,nltk,==3.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
104,numpy,==1.17,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
105,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
106,pyxdg,==0.25,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
107,wrapt,==1.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
108,SecretStorage,==2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
109,tensorflow-estimator,==1.15.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
110,importlib-metadata,==2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
111,packaging,==20.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
112,absl-py,==0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
113,tensorboard,==1.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
114,dyNET,==2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/absa_solution/requirements.txt,*,*@*,*
115,wordfreq,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/trend_analysis/requirements.txt,*,*@*,*
116,pandas,==0.24.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/trend_analysis/requirements.txt,*,*@*,*
117,bokeh,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/trend_analysis/requirements.txt,*,*@*,*
118,matplotlib,==3.3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/InterpreT/application/requirements.txt,*,*@*,*
119,torch,==1.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/InterpreT/application/requirements.txt,*,*@*,*
120,scipy,==1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlp-architect/solutions/InterpreT/application/requirements.txt,*,*@*,*
