,dep,version,filepath,type,condition,status
0,pyscaffold,=={},/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/setup.py,setup_requires,*@*,*
1,3.1,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/setup.py,setup_requires,*@*,*
2,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/setup.py,setup_requires,*@needs_sphinx@*@*,*
3,redis,">=2.10.6,<2.11.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
4,qtconsole,==4.4.1.,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
5,pandas,">=0.25.3,<0.26.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
6,pip,>=18.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
7,tensorflow-hub,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
8,setuptools,>=40.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
9,Keras-Applications,>=1.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
10,future,>=0.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
11,wheel,>=0.30.0a0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
12,scikit-learn,>=0.18.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
13,AIML-Bot,">=0.0.3,<0.1.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
14,gensim,==3.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
15,html2text,>=2018.1.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
16,MechanicalSoup,">=0.10.0,<0.11.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
17,Keras-Preprocessing,>=1.0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
18,pandoc,==2.2.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
19,nltk,==3.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
20,html5lib,==1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
21,theano,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
22,seaborn,>=0.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
23,jupyter,">=1.0.0,<1.1.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
24,Keras,">=2.2.4,<2.4.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
25,plac,">=0.9.6,<1.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
26,matplotlib,">=3.2.2,<3.4.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
27,pillow,==6.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
28,scipy,==1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
29,spacy,==2.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
30,pugnlp,>=0.2.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
31,tensorflow,==2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
32,pathlib,">=1.0.1,<2.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
33,tqdm,>=4.11.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
34,plotly,==3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
35,python-levenshtein,">=0.12.0,<0.13.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
36,coverage,>=4.3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
37,plyfile,">=0.5.0,<1.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
38,pytest-cov,>=2.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
39,regex,>=2020.6.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
40,cython,>=0.29.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/nlpia/requirements/requirements.txt,*,*@*,*
