,dep,version,filepath,type,condition,status
0,torch,>=2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
1,acvl-utils,>=0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
2,dynamic-network-architectures,>=0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
3,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
4,dicom2nifti,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
5,scikit-image,>=0.14,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
6,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
7,batchgenerators,>=0.25,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
8,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
9,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
10,scikit-image,>=0.19.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
11,SimpleITK,>=2.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
12,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
13,graphviz,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
14,tifffile,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
15,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
16,nibabel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
17,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
18,seaborn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
19,imagecodecs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
20,yacs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nnUNet/setup.py,install_requires,@*,*
