,dep,version,filepath,type,condition,status
0,Anneal,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/setup.py,extras_require,@*,*
1,SMAC,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/setup.py,extras_require,@*,*
2,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/setup.py,setup_requires,@*,*
3,lightgbm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/nni/algorithms/feature_engineering/gbdt_selector/requirements.txt,*,*@*,*
4,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/nni/algorithms/feature_engineering/gradient_selector/requirements.txt,*,*@*,*
5,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/nni/algorithms/feature_engineering/gradient_selector/requirements.txt,*,*@*,*
6,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/nni/algorithms/feature_engineering/gradient_selector/requirements.txt,*,*@*,*
7,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/nni/algorithms/feature_engineering/gradient_selector/requirements.txt,*,*@*,*
8,cloudpickle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,*@*,*
9,typeguard,>= 3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,*@*,*
10,PythonWebHDFS,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,*@*,*
11,scikit-learn,>= 0.24.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,*@*,*
12,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,"*@ python_version >= ""3.8""",*
13,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,*@*,*
14,scipy,< 1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,"*@ python_version < ""3.8""",*
15,responses,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,*@*,*
16,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,*@*,*
17,schema,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,*@*,*
18,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,"*@ python_version >= ""3.8""",*
19,filelock,< 3.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,*@*,*
20,nvidia-ml-py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,*@*,*
21,colorama,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,*@*,*
22,pyyaml,>= 5.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,*@*,*
23,typing_extensions,>= 4.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,*@*,*
24,prettytable,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nni/dependencies/required.txt,*,*@*,*
