,dep,version,filepath,type,condition,status
0,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
1,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
2,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
3,networkx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
4,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
5,hmmlearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
6,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
7,keras,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
8,librosa,==0.7.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
9,gym,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
10,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
11,numba,==0.45.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
12,statsmodels,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
13,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
14,llvmlite,==0.32.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
15,tox,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
16,huffman,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-test.txt,*,*@*,*
17,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements.txt,*,*@*,*
18,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements.txt,*,*@*,*
19,pre-commit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-dev.txt,*,*@*,*
20,llvmlite,==0.32.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-dev.txt,*,*@*,*
21,networkx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-dev.txt,*,*@*,*
22,gym,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/numpy-ml/requirements-dev.txt,*,*@*,*
