,dep,version,filepath,type,condition,status
0,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,*,*@*,*
1,Shapely,<=1.8.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,*,*@*,*
2,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,*,*@*,*
3,matplotlib,<=3.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,*,*@*,*
4,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,*,*@*,*
5,cachetools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,*,*@*,*
6,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,*,*@*,*
7,pyquaternion,>=0.9.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,*,*@*,*
8,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,*,*@*,*
9,fire,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,*,*@*,*
10,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,*,*@*,*
11,Pillow,>6.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,*,*@*,*
12,descartes,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,*,*@*,*
13,torchvision,>=0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_prediction.txt,*,*@*,*
14,torch,>=1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_prediction.txt,*,*@*,*
15,pycocotools,>=2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_nuimages.txt,*,*@*,*
16,pandas,>=0.24,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_tracking.txt,*,*@*,*
17,motmetrics,<=1.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_tracking.txt,*,*@*,*
