,dep,version,filepath,bloated,cve,affected versions,advisory
0,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,False,CVE-2016-10075,<4.11.2,The tqdm._version module in tqdm versions before 4.11.2 allows local users to execute arbitrary code via a crafted repo with a malicious git log in the current working directory.
1,Shapely,<=1.8.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,False,no one,no one,no one
2,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,False,CVE-2013-4251,">=0,<0.12.1",The scipy.weave component in SciPy before 0.12.1 creates insecure temporary directories.
3,matplotlib,<=3.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,False,no one,no one,no one
4,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,False,no one,no one,no one
5,cachetools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,False,no one,no one,no one
6,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,False,CVE-2016-1517,<3.3.1.11,Opencv-python 3.3.1.11 includes a fix for CVE-2016-1517: OpenCV 3.0.0 allows remote attackers to cause a denial of service (segfault) via vectors involving corrupt chunks.
7,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,False,CVE-2017-12602,<3.3.1.11,"Opencv-python 3.3.1.11 includes a fix for CVE-2017-12602: OpenCV through 3.3 has a denial of service (memory consumption) issue, as demonstrated by the 10-opencv-dos-memory-exhaust test case."
8,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,False,CVE-2017-12603,<3.3.1.11,"Opencv-python 3.3.1.11 includes a fix for CVE-2017-12603: OpenCV through 3.3 has an invalid write in the cv::RLByteStream::getBytes function in modules/imgcodecs/src/bitstrm.cpp when reading an image file by using cv::imread, as demonstrated by the 2-opencv-heapoverflow-fseek test case."
9,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,False,CVE-2017-12597,<3.3.1.11,Opencv-python 3.3.1.11 includes a fix for CVE-2017-12597: OpenCV through 3.3 has an out-of-bounds write error in the function FillColorRow1 in utils.cpp when reading an image file by using cv::imread.
10,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nuscenes-devkit/setup/requirements/requirements_base.txt,False,CVE-2017-12599,<3.3.1.11,Opencv-python 3.3.1.11 includes a fix for CVE-2017-12599: OpenCV through 3.3 has an out-of-bounds read error in the function icvCvt_BGRA2BGR_8u_C4C3R when reading an image file by using cv::imread.
