,dep,version,filepath,type,condition,status
0,importlib_resources,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
1,pytorch-ignite,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
2,pyloudnorm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
3,librosa,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
4,tensorboard,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
5,gpytorch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
6,zarr,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
7,museval,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
8,soxbindings,>=1.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@ platform_system!='Windows',*
9,ffmpeg-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
10,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
11,norbert,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
12,jams,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
13,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
14,musdb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
15,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
16,ffmpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
17,sox,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
18,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
19,termtables,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/requirements.txt,*,*@*,*
20,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
21,sphinx-rtd-theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
22,jupyter_contrib_nbextensions,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
23,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
24,jupytext,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
25,nbsphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
26,jupyter_nbextensions_configurator,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
27,autodocsumm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
28,m2r2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
29,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
30,sphinx-autoapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
31,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
32,scaper,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
33,termtables,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
34,gradio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
35,ffmpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
36,IPython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
37,sphinx,==2.4.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/extra_requirements.txt,*,*@*,*
38,vamp,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nussl/setup.py,extras_require,@*,*
