,dep,version,filepath,type,condition,status
0,more-itertools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements.txt,*,*@*,*
1,category_encoders,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements.txt,*,*@*,*
2,seaborn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements.txt,*,*@*,*
3,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements.txt,*,*@*,*
4,optuna,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements.txt,*,*@*,*
5,pyarrow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements.txt,*,*@*,*
6,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements.txt,*,*@*,*
7,transformers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements.txt,*,*@*,*
8,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements.txt,*,*@*,*
9,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements.txt,*,*@*,*
10,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements.txt,*,*@*,*
11,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements-dev.txt,*,*@*,*
12,catboost,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements-dev.txt,*,*@*,*
13,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements-dev.txt,*,*@*,*
14,xgboost,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements-dev.txt,*,*@*,*
15,mecab-python3,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements-dev.txt,*,*@*,*
16,mlflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements-dev.txt,*,*@*,*
17,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements-dev.txt,*,*@*,*
18,lightgbm,<4.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/requirements-dev.txt,*,*@*,*
19,category_encoders,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,install_requires,@*,*
20,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,install_requires,@*,*
21,more-itertools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,install_requires,@*,*
22,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,install_requires,@*,*
23,optuna,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,install_requires,@*,*
24,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,install_requires,@*,*
25,pyarrow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,install_requires,@*,*
26,seaborn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,install_requires,@*,*
27,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,install_requires,@*,*
28,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,install_requires,@*,*
29,transformers,>=2.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,install_requires,@*,*
30,catboost,>=0.17,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,extras_require,@*,*
31,lightgbm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,extras_require,@*,*
32,xgboost,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,extras_require,@*,*
33,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,extras_require,@*,*
34,mlflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/setup.py,extras_require,@*,*
35,sphinx-autodoc-typehints,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/nyaggle/docs/requirements.txt,*,*@*,*
