,dep,version,filepath,type,condition,status
0,skl2onnx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements.txt,*,*@*,*
1,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements.txt,*,*@*,*
2,onnx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements.txt,*,*@*,*
3,lightgbm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
4,xgboost,==1.7.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
5,catboost,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
6,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
7,openpyxl,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
8,mleap,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
9,scikit-learn,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
10,pyspark,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
11,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
12,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
13,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
14,libsvm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
15,flatbuffers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
16,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
17,pytest-spark,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
18,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
19,dill,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
20,cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
21,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
22,wheel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/onnxmltools/requirements-dev.txt,*,*@*,*
