,dep,version,filepath,bloated,cve,affected versions,advisory
0,openvino-model-api,==0.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/src/otx/api/usecases/exportable_code/demo/requirements.txt,False,no one,no one,no one
1,numpy,">=1.21.0,<=1.23.5",/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/src/otx/api/usecases/exportable_code/demo/requirements.txt,False,CVE-2021-34141,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-34141: An incomplete string comparison in the numpy.core component in NumPy before 1.22.0 allows attackers to trigger slightly incorrect copying by constructing specific string objects. 
NOTE: the vendor states that this reported code behavior is ""completely harmless.""
https://github.com/numpy/numpy/issues/18993"
2,numpy,">=1.21.0,<=1.23.5",/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/src/otx/api/usecases/exportable_code/demo/requirements.txt,False,CVE-2021-41496,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-41496: Buffer overflow in the array_from_pyobj function of fortranobject.c, which allows attackers to conduct a Denial of Service attacks by carefully constructing an array with negative values. 
NOTE: The vendor does not agree this is a vulnerability; the negative dimensions can only be created by an already privileged user (or internally).
https://github.com/numpy/numpy/issues/19000"
3,numpy,">=1.21.0,<=1.23.5",/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/src/otx/api/usecases/exportable_code/demo/requirements.txt,False,CVE-2021-41495,<1.22.2,"Numpy 1.22.2  includes a fix for CVE-2021-41495: Null Pointer Dereference vulnerability exists in numpy.sort in NumPy in the PyArray_DescrNew function due to missing return-value validation, which allows attackers to conduct DoS attacks by repetitively creating sort arrays. 
NOTE: While correct that validation is missing, an error can only occur due to an exhaustion of memory. If the user can exhaust memory, they are already privileged. Further, it should be practically impossible to construct an attack which can target the memory exhaustion to occur at exactly this place.
https://github.com/numpy/numpy/issues/19038"
4,openvino,==2023.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/src/otx/api/usecases/exportable_code/demo/requirements.txt,False,no one,no one,no one
5,anomalib,==0.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/anomaly.txt,False,no one,no one,no one
6,torchtext,<0.15.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/anomaly.txt,False,no one,no one,no one
7,kornia,==0.6.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/anomaly.txt,False,no one,no one,no one
8,torchvision,<0.15.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/anomaly.txt,False,no one,no one,no one
9,pytest-csv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/dev.txt,False,no one,no one,no one
10,pylint,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/dev.txt,False,PVE-2022-45185,<2.13.0,"Pylint 2.13.0 fixes a crash when using the doc_params extension.
https://github.com/PyCQA/pylint/issues/5322"
11,pylint,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/dev.txt,False,PVE-2021-38224,<2.5.0,"Pylint 2.5.0 no longer allows ``python -m pylint ...`` to import user code. Previously, it added the current working directory as the first element of ``sys.path``. This opened up a potential security hole where ``pylint`` would import user level code as long as that code resided in modules having the same name as stdlib or pylint's own modules."
12,pylint,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/dev.txt,False,PVE-2021-39621,<2.7.0,Pylint 2.7.0 includes a fix for vulnerable regular expressions in 'pyreverse'.
13,tox,==4.4.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/dev.txt,False,no one,no one,no one
14,pytest-mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/dev.txt,False,no one,no one,no one
15,onnxruntime,==1.14.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/dev.txt,False,no one,no one,no one
16,pytest-timeout,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/dev.txt,False,no one,no one,no one
17,onnx,==1.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/dev.txt,False,no one,no one,no one
18,pre-commit,==2.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/dev.txt,False,no one,no one,no one
19,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/dev.txt,False,no one,no one,no one
20,coverage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/dev.txt,False,no one,no one,no one
21,pytorch-lightning,">=1.7.0,<1.10.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/visual_prompting.txt,False,CVE-2021-4118,">=0,<1.6.0",Pytorch-lightning before 1.6.0 is vulnerable to Deserialization of Untrusted Data.
22,pytorch-lightning,">=1.7.0,<1.10.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/visual_prompting.txt,False,CVE-2022-0845,">=0,<1.6.0","PyTorch Lightning version 1.5.10 and prior is vulnerable to code injection. An attacker could execute commands on the target OS running the operating system by setting the `PL_TRAINER_GPUS` when using the `Trainer` module. A [patch](https://github.com/pytorchlightning/pytorch-lightning/commit/8b7a12c52e52a06408e9231647839ddb4665e8ae) is included in the `1.6.0` release.
Affected functions:
pytorch_lightning.utilities.argparse.parse_env_variables"
23,scikit-image,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/visual_prompting.txt,False,no one,no one,no one
24,einops,==0.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/segmentation.txt,False,no one,no one,no one
25,pytorchcv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/segmentation.txt,False,no one,no one,no one
26,yapf,<0.40.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/openvino_training_extensions/requirements/segmentation.txt,False,no one,no one,no one
