,dep,version,filepath,type,condition,status
0,django-db-logger,>=0.1.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
1,psycopg2-binary,>=2.5.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
2,Fabric3,>=1.13.1.post1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
3,autopep8,==1.4.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
4,django-debug-toolbar,==1.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
5,gpflow,==1.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
6,pyDOE,>=0.3.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
7,Django,==1.11.27,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
8,git-lint,==0.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
9,astroid,==2.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
10,celery,">=3.1.23,<4.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
11,mock,==2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
12,django-celery,<=3.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
13,pycodestyle,==2.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
14,requests,==2.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
15,pylint,==2.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
16,scipy,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
17,numpy,==1.15.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
18,mysqlclient,==1.3.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
19,grpcio,==1.27.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
20,django-request-logging,==0.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
21,threadpool,>=1.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
22,torchvision,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
23,scikit-learn,==0.19.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
24,torch,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
25,tensorflow,==1.12.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
26,hurry.filesize,>=0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/ottertune/server/website/requirements.txt,*,*@*,*
