,dep,version,filepath,type,condition,status
0,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
1,chardet,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
2,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
3,MarkupSafe,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
4,Flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
5,certifi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
6,idna,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
7,itsdangerous,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
8,python-dateutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
9,pytz,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
10,joblib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
11,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
12,Jinja2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
13,SQLAlchemy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
14,docopt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
15,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
16,Werkzeug,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
17,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
18,Click,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
19,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
20,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
21,urllib3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
22,ujson,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements.txt,*,*@*,*
23,pluggy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements-dev.txt,*,*@*,*
24,cov-core,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements-dev.txt,*,*@*,*
25,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements-dev.txt,*,*@*,*
26,requests-mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements-dev.txt,*,*@*,*
27,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements-dev.txt,*,*@*,*
28,coverage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/requirements-dev.txt,*,*@*,*
29,julia,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,extras_require,@*,*
30,rpy2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,extras_require,@*,*
31,s3fs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,extras_require,@*,*
32,moto,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,extras_require,@*,*
33,docopt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,install_requires,*@*,*
34,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,install_requires,*@*,*
35,joblib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,install_requires,*@*,*
36,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,install_requires,*@*,*
37,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,install_requires,*@*,*
38,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,install_requires,*@*,*
39,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,install_requires,*@*,*
40,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,install_requires,*@*,*
41,sqlalchemy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,install_requires,*@*,*
42,ujson,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,install_requires,*@*,*
43,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,extras_require,*@*,*
44,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,extras_require,*@*,*
45,requests-mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,extras_require,*@*,*
46,Sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,extras_require,*@*,*
47,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/setup.py,extras_require,*@*,*
48,xgboost,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/examples/xgboost/requirements.txt,*,*@*,*
49,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/examples/keras/requirements.txt,*,*@*,*
50,dstoolbox,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/examples/keras/requirements.txt,*,*@*,*
51,Keras,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/examples/keras/requirements.txt,*,*@*,*
52,sphinx_rtd_theme,==0.1.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/docs/requirements-docs.txt,*,*@*,*
53,Sphinx,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/palladium/docs/requirements-docs.txt,*,*@*,*
