,dep,version,filepath,type,condition,status
0,rustworkx,~=0.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
1,requests,~=2.28.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
2,scipy,~=1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
3,dask,~=2022.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
4,matplotlib,~=3.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
5,numpy,<1.24,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
6,cvxopt,~=1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
7,networkx,~=2.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
8,toml,~=0.10,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
9,semantic_version,~=2.10,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
10,autoray,==0.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
11,cachetools,~=5.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
12,appdirs,~=1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
13,opt_einsum,~=3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
14,cvxpy,~=1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
15,autograd,">=1.4,<=1.5",/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements.txt,*,*@*,*
16,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements-ci.txt,*,*@*,*
17,autoray,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pennylane/requirements-ci.txt,*,*@*,*
