,dep,version,filepath,type,condition,status
0,pylint,>1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/test_requirements.txt,*,*@*,*
1,tox,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/test_requirements.txt,*,*@*,*
2,pluggy,"<1.0,>=0.12",/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/test_requirements.txt,*,*@*,*
3,pytest-cov,==2.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/test_requirements.txt,*,*@*,*
4,mypy,>=0.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/test_requirements.txt,*,*@*,*
5,pytest,>=3.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/test_requirements.txt,*,*@*,*
6,nltk,==3.4.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/setup.py,install_requires,@*,*
7,numpy,">=1.14.5,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/setup.py,install_requires,@*,*
8,python-speech-features,==0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/setup.py,install_requires,@*,*
9,scipy,">=1.1.0,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/setup.py,install_requires,@*,*
10,tensorflow,">=1.13.1,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/setup.py,install_requires,@*,*
11,scikit-learn,==0.21.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/setup.py,install_requires,@*,*
12,pympi-ling,==1.69,/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/setup.py,install_requires,@*,*
13,pydub,==0.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/setup.py,install_requires,@*,*
14,pint,==0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/setup.py,install_requires,@*,*
15,persephone,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/docs/doc-requirements.txt,*,*@*,*
16,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/docs/doc-requirements.txt,*,*@*,*
17,sphinx-autodoc-typehints,==1.2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/persephone/docs/doc-requirements.txt,*,*@*,*
