,dep,version,filepath,type,condition,status
0,torch,>=1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,install_requires,@*,*
1,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,install_requires,@*,*
2,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,install_requires,@*,*
3,sympy,>=1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,install_requires,@*,*
4,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,install_requires,@*,*
5,networkx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,install_requires,@*,*
6,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,extras_require,@*,*
7,flake8,==3.9.2pytest-cov,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,extras_require,@*,*
8,pytest-flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,extras_require,@*,*
9,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,extras_require,@*,*
10,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,extras_require,@*,*
11,twine,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,extras_require,@*,*
12,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,extras_require,@*,*
13,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,extras_require,@*,*
14,tensorboardX,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,extras_require,@*,*
15,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,extras_require,@*,*
16,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,extras_require,@*,*
17,flake8,==3.9.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pixyz/setup.py,extras_require,@*,*
