,dep,version,filepath,type,condition,status
0,pylint,==2.15.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/styling_requirements.txt,*,*@*,*
1,astroid,==2.12.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/styling_requirements.txt,*,*@*,*
2,isort,~=5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/styling_requirements.txt,*,*@*,*
3,black,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/styling_requirements.txt,*,*@*,*
4,black,~=22.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/styling_requirements.txt,*,*@*,*
5,flake8,==5.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/styling_requirements.txt,*,*@*,*
6,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/requirements.txt,*,*@*,*
7,torchmetrics,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/requirements.txt,*,*@*,*
8,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/requirements.txt,*,*@*,*
9,tensorboard,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/extra_requirements.txt,*,*@*,*
10,colorama,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/extra_requirements.txt,*,*@*,*
11,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/extra_requirements.txt,*,*@*,*
12,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/extra_requirements.txt,*,*@*,*
13,mlflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/extra_requirements.txt,*,*@*,*
14,tensorboardX,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/extra_requirements.txt,*,*@*,*
15,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/extra_requirements.txt,*,*@*,*
16,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/setup.py,install_requires,@*,*
17,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/setup.py,install_requires,@*,*
18,torchmetrics,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/setup.py,install_requires,@*,*
19,colorama,>=0.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/setup.py,extras_require,@*,*
20,scikit-learn,>=0.23.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/setup.py,extras_require,@*,*
21,tensorboard,>=2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/setup.py,extras_require,@*,*
22,tensorboardX,>=2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/setup.py,extras_require,@*,*
23,torchvision,>=0.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/setup.py,extras_require,@*,*
24,pandas,>=2.0.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/setup.py,extras_require,@*,*
25,mlflow,>=1.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/setup.py,extras_require,@*,*
26,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/tests/requirements.txt,*,*@*,*
27,wandb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/tests/requirements.txt,*,*@*,*
28,tensorboard,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/tests/requirements.txt,*,*@*,*
29,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/tests/requirements.txt,*,*@*,*
30,colorama,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/tests/requirements.txt,*,*@*,*
31,omegaconf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/tests/requirements.txt,*,*@*,*
32,torchmetrics,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/tests/requirements.txt,*,*@*,*
33,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/tests/requirements.txt,*,*@*,*
34,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/tests/requirements.txt,*,*@*,*
35,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/tests/requirements.txt,*,*@*,*
36,mlflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/tests/requirements.txt,*,*@*,*
37,tensorboardX,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/tests/requirements.txt,*,*@*,*
38,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/tests/requirements.txt,*,*@*,*
39,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/tests/requirements.txt,*,*@*,*
40,colorama,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/examples/requirements.txt,*,*@*,*
41,fasttext,~=0.9.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/examples/requirements.txt,*,*@*,*
42,torchmetrics,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/examples/requirements.txt,*,*@*,*
43,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/examples/requirements.txt,*,*@*,*
44,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/examples/requirements.txt,*,*@*,*
45,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/docs/requirements.txt,*,*@*,*
46,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/poutyne/docs/requirements.txt,*,*@*,*
