,dep,version,filepath,type,condition,status
0,statsmodels,~=0.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
1,tensorflow-datasets,~=4.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
2,absl-py,">=1.0,==1.*",/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
3,attrs,~=21.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
4,scikit-learn,">=1.0,==1.*",/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
5,dm-tree,==0.1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
6,dp-accounting,==0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
7,packaging,~=22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
8,mpmath,~=1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
9,pandas,~=1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
10,scipy,~=1.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
11,tensorflow-estimator,~=2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
12,tensorflow-probability,~=0.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
13,immutabledict,~=2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
14,numpy,~=1.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
15,tensorflow,~=2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
16,matplotlib,~=3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/requirements.txt,*,*@*,*
17,absl-py,">=1.0,==1.*",/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
18,attrs,~=21.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
19,dm-tree,==0.1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
20,dp-accounting,==0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
21,immutabledict,~=2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
22,matplotlib,~=3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
23,numpy,~=1.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
24,packaging,~=22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
25,pandas,~=1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
26,parameterized,~=0.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
27,scikit-learn,">=1.0,==1.*",/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
28,scipy,~=1.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
29,statsmodels,~=0.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
30,tensorflow-datasets,~=4.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
31,tensorflow-estimator,~=2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
32,tensorflow-probability,~=0.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
33,tensorflow,~=2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/privacy/setup.py,install_requires,@*,*
