,dep,version,filepath,type,condition,status
0,jupyterlab,==3.0.17,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/data-deduplication/requirements.txt,*,*@*,*
1,clumper,==0.2.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/data-deduplication/requirements.txt,*,*@*,*
2,recordlinkage,==0.14,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/data-deduplication/requirements.txt,*,*@*,*
3,embetter,==0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/bulk-images/requirements.txt,*,*@*,*
4,jupyterlab,==3.4.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/bulk-images/requirements.txt,*,*@*,*
5,umap-learn,==0.5.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/bulk-images/requirements.txt,*,*@*,*
6,bulk,==0.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/bulk-images/requirements.txt,*,*@*,*
7,keras,==2.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/bulk-images/requirements.txt,*,*@*,*
8,scikit-learn,==1.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/bulk-images/requirements.txt,*,*@*,*
9,matplotlib,==3.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/quickdraw/requirements.txt,*,*@*,*
10,fastapi,==0.68.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/quickdraw/requirements.txt,*,*@*,*
11,jupyterlab,==3.0.17,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/quickdraw/requirements.txt,*,*@*,*
12,umap-learn,==0.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/quickdraw/requirements.txt,*,*@*,*
13,clumper,==0.2.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/quickdraw/requirements.txt,*,*@*,*
14,pandas,==1.3.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/google-emotions/requirements.txt,*,*@*,*
15,whatlies,==0.6.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/google-emotions/requirements.txt,*,*@*,*
16,jupyterlab,==3.3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/google-emotions/requirements.txt,*,*@*,*
17,doubtlab,==0.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/tutorials/google-emotions/requirements.txt,*,*@*,*
18,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/image/image_caption/requirements.txt,*,*@*,*
19,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/image/image_caption/requirements.txt,*,*@*,*
20,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/image/image_caption/requirements.txt,*,*@*,*
21,dedupe,==1.9.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/contrib/dedupe/requirements.txt,*,*@*,*
22,unidecode,==1.0.23,/home/daniele/git/NICHE_projects/Repo/Cloneables/prodigy-recipes/contrib/dedupe/requirements.txt,*,*@*,*
