,dep,version,filepath,type,condition,status
0,matplotlib,>=3.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements.txt,*,*@*,*
1,numpydoc,>=0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements.txt,*,*@*,*
2,hyperopt,>=0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements.txt,*,*@*,*
3,sphinx,>=2.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements.txt,*,*@*,*
4,numpy,>=1.16.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements.txt,*,*@*,*
5,scikit_learn,>=0.20.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements.txt,*,*@*,*
6,setuptools,>=40.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements.txt,*,*@*,*
7,pathlib,>=1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements.txt,*,*@*,*
8,sphinx-rtd-theme,>=0.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements.txt,*,*@*,*
9,pyyaml,>=5.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements.txt,*,*@*,*
10,torch,<1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements.txt,*,*@*,*
11,seaborn,>=0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements.txt,*,*@*,*
12,pytest,>=3.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements.txt,*,*@*,*
13,sphinx-gallery,>=0.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements.txt,*,*@*,*
14,coveralls,>=1.11.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements-dev.txt,*,*@*,*
15,pymongo,>=3.11.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements-dev.txt,*,*@*,*
16,coverage,>=5.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements-dev.txt,*,*@*,*
17,pylint,>=2.5.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements-dev.txt,*,*@*,*
18,pytest,>=3.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements-dev.txt,*,*@*,*
19,pytest-cov,>=2.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/requirements-dev.txt,*,*@*,*
20,sphinx,>=2.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pykg2vec/setup.py,setup_requires,@*,*
