,dep,version,filepath,type,condition,status
0,fastprogress,>=0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements.txt,*,*@*,*
1,pytensor,">=2.14.1,<2.15",/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements.txt,*,*@*,*
2,scipy,>=1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements.txt,*,*@*,*
3,cachetools,>=4.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements.txt,*,*@*,*
4,typing-extensions,>=3.7.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements.txt,*,*@*,*
5,numpy,>=1.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements.txt,*,*@*,*
6,pandas,>=0.24.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements.txt,*,*@*,*
7,cloudpickle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements.txt,*,*@*,*
8,arviz,>=0.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements.txt,*,*@*,*
9,mypy,==0.990,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
10,numpydoc,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
11,watermark,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
12,scipy,>=1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
13,sphinx,>=1.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
14,typing-extensions,>=3.7.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
15,pytest,>=3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
16,mcbackend,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
17,cloudpickle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
18,sphinx-copybutton,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
19,types-cachetools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
20,arviz,>=0.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
21,sphinx-remove-toctrees,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
22,polyagamma,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
23,numpy,>=1.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
24,ipython,>=7.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
25,fastprogress,>=0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
26,pymc-sphinx-theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@special#B.9 ,*
27,pytensor,">=2.14.1,<2.15",/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
28,sphinx-notfound-page,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
29,h5py,>=2.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
30,pandas,>=0.24.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
31,myst-nb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
32,sphinxext-rediraffe,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
33,jupyter-sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
34,sphinx-design,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
35,cachetools,>=4.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
36,pytest-cov,>=2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
37,numdifftools,>=0.9.40,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
38,pre-commit,>=2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/requirements-dev.txt,*,*@*,*
39,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/setup.py,tests_require,*@*,*
40,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pymc3/setup.py,tests_require,*@*,*
