,dep,version,filepath,type,condition,status
0,numpy,>=1.19,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements.txt,*,*@*,*
1,scipy,>=1.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements.txt,*,*@*,*
2,joblib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements.txt,*,*@*,*
3,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements.txt,*,*@*,*
4,scikit_learn,>=0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements.txt,*,*@*,*
5,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements.txt,*,*@*,*
6,numba,>=0.51,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements.txt,*,*@*,*
7,nose,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
8,combo,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
9,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
10,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
11,pyclustering,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
12,scikit_learn,>=0.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
13,statsmodels,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
14,joblib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
15,geomstats,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
16,pythresh,>=0.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
17,scikit-lego,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
18,ruptures,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
19,scipy,>=1.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
20,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
21,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
22,keras,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
23,numpy,>=1.19,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
24,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
25,xgboost,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
26,suod,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
27,numba,>=0.51,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/requirements_ci.txt,*,*@*,*
28,setuptools,>=38.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/setup.py,setup_requires,@*,*
29,nose,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/docs/requirements.txt,*,*@*,*
30,combo,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/docs/requirements.txt,*,*@*,*
31,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/docs/requirements.txt,*,*@*,*
32,pyclustering,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyod/docs/requirements.txt,*,*@*,*
