,dep,version,filepath,type,condition,status
0,torch,>=1.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,install_requires,@*,*
1,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,install_requires,@*,*
2,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,install_requires,@*,*
3,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,install_requires,@*,*
4,termcolor,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,install_requires,@*,*
5,pyzmq,>=19.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,install_requires,@*,*
6,flatbuffers,==2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,install_requires,@*,*
7,pydotplus,==2.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,install_requires,@*,*
8,pyyaml,>=3.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,install_requires,@*,*
9,sqlitedict,>=2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,install_requires,@*,*
10,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,extras_require,@*,*
11,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,extras_require,@*,*
12,pytest-xdist,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,extras_require,@*,*
13,docker,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,extras_require,@*,*
14,sphinx,==3.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,extras_require,@*,*
15,sphinx_rtd_theme,==0.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,extras_require,@*,*
16,jupyter-sphinx,==0.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,extras_require,@*,*
17,myst-nb,==0.12.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyprob/setup.py,extras_require,@*,*
