,dep,version,filepath,type,condition,status
0,numpy,>=1.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,install_requires,@*,*
1,opt_einsum,>=2.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,install_requires,@*,*
2,pyro-api,>=0.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,install_requires,@*,*
3,torch,>=1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,install_requires,@*,*
4,tqdm,>=4.36,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,install_requires,@*,*
5,black,>=21.4b0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
6,nbval,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
7,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
8,pytest-xdist,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
9,pytest,>=5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
10,ruff,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
11,scipy,>=1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
12,prettytable,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,@*,*
13,pytest-benchmark,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,@*,*
14,snakeviz,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,@*,*
16,mypy,>=0.812,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
17,nbformat,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
18,nbsphinx,>=0.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
19,nbstripout,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
21,ninja,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
22,pypandoc,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
27,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
28,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
29,yapf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyro/setup.py,extras_require,*@*,*
