,dep,version,filepath,type,condition,status
0,defusedxml,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
1,rospkg,>=1.1.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
2,sklearn,>=0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
3,gTTS,>=2.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
4,cvxpy,>=1.0.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
5,cma,>=2.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
6,scipy,>=0.19.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
7,control,>=0.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
8,torch,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
9,numpy-quaternion,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
10,gym,>=0.10.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
11,numba,>=0.42.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
12,autograd,>=1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
13,pyassimp,>=4.1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
14,pybullet,>=2.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
15,sympy,>=1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
16,matplotlib,>=2.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
17,nlopt,>=2.4.2.post2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
18,inputs,>=0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
19,pathos,>=0.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
20,cvxopt,>=1.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
21,GPyOpt,>=1.2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
22,stable-baselines,>=2.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
23,qpsolvers,>=1.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
24,GPy,>=1.9.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
25,urdf-parser-py,>=0.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
26,torchvision,>=0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
27,psutil,>=5.6.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
28,neat-python,>=0.92,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
29,opencv-python,>=4.0.0.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
30,empy,>=3.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
31,quadprog,>=0.1.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
32,trimesh,>=3.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,*,*@*,*
