,dep,version,filepath,bloated,cve,affected versions,advisory
0,defusedxml,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,False,no one,no one,no one
1,rospkg,>=1.1.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,False,no one,no one,no one
2,sklearn,>=0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,False,no one,no one,no one
3,gTTS,>=2.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,False,no one,no one,no one
4,cvxpy,>=1.0.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,False,no one,no one,no one
5,cma,>=2.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,False,no one,no one,no one
6,scipy,>=0.19.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,False,CVE-2013-4251,">=0,<0.12.1",The scipy.weave component in SciPy before 0.12.1 creates insecure temporary directories.
7,control,>=0.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,False,no one,no one,no one
8,torch,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,False,CVE-2022-45907,">=0,<1.13.1","Torch 1.13.1 includes a fix for CVE-2022-45907: In PyTorch before trunk/89695, torch.jit.annotations.parse_type_line can cause arbitrary code execution because eval is used unsafely.
https://github.com/pytorch/pytorch/issues/88868"
9,numpy-quaternion,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,False,no one,no one,no one
10,gym,>=0.10.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,False,no one,no one,no one
11,numba,>=0.42.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobolearn/requirements.txt,False,PVE-2021-38983,<0.49.0,"Numba 0.49.0 fixes a frame injection vulnerability in the dispatcher tracing path, that lead to DoS."
