,dep,version,filepath,type,condition,status
0,mock,==3.0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
1,yacs,==0.1.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
2,scipy,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
3,scikit-learn,==0.20.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
4,absl-py,==0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
5,pytest-html,==1.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
6,Pillow,>=5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
7,pytz,>=2015.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
8,numpy,>=1.17.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
9,guzzle-sphinx-theme,==0.7.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
10,PyYAML,>=3.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
11,matplotlib,>=2.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
12,opencv-python,==4.0.0.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
13,bezier,>=0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
14,pytest-cov,==2.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
15,open3d_python,==0.5.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
16,pyassimp,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python3.txt,*,*@*,*
17,bezier,==0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
18,mock,==3.0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
19,pyassimp,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
20,yacs,==0.1.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
21,scipy,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
22,scikit-learn,==0.20.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
23,absl-py,==0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
24,pytest-html,==1.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
25,Pillow,>=5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
26,pytz,>=2015.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
27,PyYAML,>=5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
28,guzzle-sphinx-theme,==0.7.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
29,opencv-python,==4.0.0.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
30,matplotlib,>=2.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
31,pytest-cov,==2.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
32,open3d_python,==0.5.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
33,numpy,>=1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/requirements_python2.txt,*,*@*,*
34,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python3.txt,*,*@*,*
35,ipython,==5.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python3.txt,*,*@*,*
36,matplotlib,>=2.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python3.txt,*,*@*,*
37,scipy,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python3.txt,*,*@*,*
38,numpy,>=1.17.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python3.txt,*,*@*,*
39,opencv-python,==4.0.0.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python3.txt,*,*@*,*
40,Pillow,==6.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python3.txt,*,*@*,*
41,open3d_python,==0.5.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python3.txt,*,*@*,*
42,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python3.txt,*,*@*,*
43,bezier,>=0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python3.txt,*,*@*,*
44,bezier,==0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python2.txt,*,*@*,*
45,ipython,==5.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python2.txt,*,*@*,*
46,torchvision,==0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python2.txt,*,*@*,*
47,scipy,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python2.txt,*,*@*,*
48,matplotlib,==2.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python2.txt,*,*@*,*
49,opencv-python,==4.0.0.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python2.txt,*,*@*,*
50,Pillow,==6.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python2.txt,*,*@*,*
51,open3d_python,==0.5.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python2.txt,*,*@*,*
52,numpy,==1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/robots/LoCoBot/requirements_python2.txt,*,*@*,*
53,tensorflow,==1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/examples/visual_nav_cmp/requirements.txt,*,*@*,*
54,yacs,==0.1.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/examples/visual_nav_cmp/requirements.txt,*,*@*,*
55,recordclass,==0.10.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/examples/visual_nav_cmp/requirements.txt,*,*@*,*
56,opencv-python,==4.0.0.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/examples/visual_nav_cmp/requirements.txt,*,*@*,*
57,numpy,>=1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/examples/visual_nav_cmp/requirements.txt,*,*@*,*
58,bezier,==0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/examples/grasping/requirements.txt,*,*@*,*
59,torch,==0.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/examples/grasping/requirements.txt,*,*@*,*
60,mock,==3.0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/examples/grasping/requirements.txt,*,*@*,*
61,yacs,==0.1.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/pyrobot/examples/grasping/requirements.txt,*,*@*,*
