,dep,version,filepath,type,condition,status
0,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
1,transformers,==3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
2,click,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
3,mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
4,future,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
5,onnx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
6,sentencepiece,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
7,tensorboard,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
8,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
9,iopath,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
10,hypothesis,<4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
11,fairseq,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
12,torchtext,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
13,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
14,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
15,pytorch-pretrained-bert,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/docs_requirements.txt,*,*@*,*
16,onnx,>=1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
17,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
18,transformers,==3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
19,click,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
20,future,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
21,sentencepiece,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
22,tensorboard,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
23,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
24,iopath,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
25,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
26,hypothesis,<4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
27,fairseq,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
28,joblib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
29,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
30,regex,==2019.11.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
31,torchtext,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
32,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/requirements.txt,*,*@*,*
33,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/pytext/docs/requirements.txt,*,*@*,*
34,sphinx,<2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytext/pytext/docs/requirements.txt,*,*@*,*
