,dep,version,filepath,bloated,cve,affected versions,advisory
0,torch,>=1.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-image-models/requirements.txt,False,CVE-2022-45907,">=0,<1.13.1","Torch 1.13.1 includes a fix for CVE-2022-45907: In PyTorch before trunk/89695, torch.jit.annotations.parse_type_line can cause arbitrary code execution because eval is used unsafely.
https://github.com/pytorch/pytorch/issues/88868"
1,safetensors,>=0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-image-models/requirements.txt,False,no one,no one,no one
2,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-image-models/requirements.txt,False,no one,no one,no one
3,huggingface_hub,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-image-models/requirements.txt,False,no one,no one,no one
4,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-image-models/requirements.txt,False,CVE-2017-18342,<4,Pyyaml before 4 uses ``yaml.load`` which has been assigned CVE-2017-18342.
5,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-image-models/requirements.txt,False,CVE-2020-1747,<5.3.1,"Pyyaml 5.3.1 includes a fix for CVE-2020-1747: A vulnerability was discovered in the PyYAML library in versions before 5.3.1, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. An attacker could use this flaw to execute arbitrary code on the system by abusing the python/object/new constructor."
6,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-image-models/requirements.txt,False,CVE-2020-14343,<5.4,"Pyyaml version 5.4 includes a fix for CVE-2020-14343: A vulnerability was discovered in the PyYAML library in versions before 5.4, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. This flaw allows an attacker to execute arbitrary code on the system by abusing the python/object/new constructor. This flaw is due to an incomplete fix for CVE-2020-1747.
https://bugzilla.redhat.com/show_bug.cgi?id=1860466"
7,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-image-models/requirements.txt,False,CVE-2019-20477,">=5.1,<=5.1.2","PyYAML 5.1 through 5.1.2 has insufficient restrictions on the load and load_all functions because of a class deserialization issue, e.g., Popen is a class in the subprocess module. See CVE-2019-20477. NOTE: this issue exists because of an incomplete fix for CVE-2017-18342."
8,mdx_truly_sane_lists,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-image-models/requirements-docs.txt,False,no one,no one,no one
9,mkdocs-redirects,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-image-models/requirements-docs.txt,False,no one,no one,no one
