,dep,version,filepath,type,condition,status
0,isort,==5.9.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
1,bandit,==1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
2,flake8,==4.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
3,pytest,==6.2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
4,ipdb,==0.13.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
5,black,==23.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
6,numpy,==1.23.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
7,pyroma,==3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
8,sphinx-autodoc-typehints,==1.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
9,flake8-bugbear,==21.9.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
10,twine,==3.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
11,torch,==1.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
12,wheel,==0.38.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
13,pytorch_ranger,==0.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
14,pytest-cov,==3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
15,mypy,==0.910,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
16,sphinx,==4.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/requirements-dev.txt,*,*@*,*
17,torch,>=1.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/setup.py,install_requires,*@*,*
18,pytorch_ranger,>=0.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/setup.py,install_requires,*@*,*
19,hyperopt,==0.2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/examples/requirements-examples.txt,*,*@*,*
20,matplotlib,==3.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/examples/requirements-examples.txt,*,*@*,*
21,torch,==1.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/examples/requirements-examples.txt,*,*@*,*
22,torchvision,==0.11.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch-optimizer/examples/requirements-examples.txt,*,*@*,*
