,dep,version,filepath,type,condition,status
0,PyWavelets,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/requirements.txt,*,*@*,*
1,torch,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/requirements.txt,*,*@*,*
2,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/requirements.txt,*,*@*,*
3,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/setup.py,install_requires,@*,*
4,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/setup.py,install_requires,@*,*
5,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/setup.py,install_requires,@*,*
6,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/setup.py,extras_require,@*,*
7,docutils,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/setup.py,extras_require,@*,*
8,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/setup.py,extras_require,@*,*
9,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/setup.py,extras_require,@*,*
10,coverage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/setup.py,tests_require,@*,*
11,py3nvml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/setup.py,tests_require,@*,*
12,dtcwt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/setup.py,tests_require,@*,*
13,PyWavelets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/setup.py,tests_require,@*,*
14,pytest,>=4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/tests/requirements.txt,*,*@*,*
15,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/tests/requirements.txt,*,*@*,*
16,py3nvml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/tests/requirements.txt,*,*@*,*
17,coverage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/tests/requirements.txt,*,*@*,*
18,PyWavelets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/tests/requirements.txt,*,*@*,*
19,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/tests/requirements.txt,*,*@*,*
20,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/tests/requirements.txt,*,*@*,*
21,dtcwt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/tests/requirements.txt,*,*@*,*
22,sphinxcontrib-bibtex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/docs/requirements.txt,*,*@*,*
23,sphinxcontrib-napoleon,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/docs/requirements.txt,*,*@*,*
24,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/docs/requirements.txt,*,*@*,*
25,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/docs/requirements.txt,*,*@*,*
26,PyWavelets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/docs/requirements.txt,*,*@*,*
27,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pytorch_wavelets/docs/requirements.txt,*,*@*,*
